date,regime,weights_mode,effective_from,q_noise,r_noise,subfactor_w_ev_ebitda,subfactor_w_fcf_yield,subfactor_w_earnings_yield,subfactor_w_roic,subfactor_w_net_debt_ebitda,subfactor_w_gross_margin,subfactor_w_rev_growth_ttm,subfactor_w_eps_growth_fy1,subfactor_w_rev_growth_ntm,subfactor_w_return_12m_ex1,subfactor_w_return_6m,subfactor_w_return_12m,subfactor_w_eps_revision_1m,subfactor_w_delta_roic,subfactor_w_delta_gross_margin,subfactor_w_delta_oper_margin,subfactor_w_gp_over_assets,subfactor_w_accruals,subfactor_w_piotroski_f_score,subfactor_w_ev_ebit,subfactor_w_book_to_price,subfactor_w_rd_intensity,subfactor_w_high52w_proximity,subfactor_w_market_beta_756d,subfactor_w_idiosyncratic_vol_63d,factor_w_value,factor_w_quality,factor_w_growth,factor_w_momentum,factor_w_revisions,factor_w_prof_momentum,factor_w_lowvol
2014-01-30,NORMAL,dynamic,2013-12-31,0.0018182601775364,0.033794958720524,0.1421313981035096,0.0,4.4040072387122456e-17,4.6974024953345e-17,1.933194749428506e-18,5.3792816021286716e-18,1.092268952277384e-17,0.0979832811698321,0.0,0.759885320726658,0.0,0.0,2.0117527653708305e-17,6.285173318960449e-18,6.464796601628521e-18,2.330732770730649e-17,9.204308930566079e-18,0.0,1.3010426069826053e-17,1.1700407532494265e-17,0.0,1.5697718938764084e-17,0.0,0.0,1.5332377280076988e-17,0.14213139810350967,9.219895524405839e-17,0.09798328116983211,0.759885320726658,2.0117527653708305e-17,3.605729762789546e-17,1.5332377280076988e-17
2014-02-28,CALM,dynamic,2014-02-28,0.0018182601775364,0.033794958720524,0.1421313981035096,0.0,4.4040072387122456e-17,4.6974024953345e-17,1.933194749428506e-18,5.3792816021286716e-18,1.092268952277384e-17,0.0979832811698321,0.0,0.759885320726658,0.0,0.0,2.0117527653708305e-17,6.285173318960449e-18,6.464796601628521e-18,2.330732770730649e-17,9.204308930566079e-18,0.0,1.3010426069826053e-17,1.1700407532494265e-17,0.0,1.5697718938764084e-17,0.0,0.0,1.5332377280076988e-17,0.14213139810350967,9.219895524405839e-17,0.09798328116983211,0.759885320726658,2.0117527653708305e-17,3.605729762789546e-17,1.5332377280076988e-17
2014-03-31,CALM,dynamic,2014-03-31,0.0018182601775364,0.033794958720524,0.1421313981035096,0.0,4.4040072387122456e-17,4.6974024953345e-17,1.933194749428506e-18,5.3792816021286716e-18,1.092268952277384e-17,0.0979832811698321,0.0,0.759885320726658,0.0,0.0,2.0117527653708305e-17,6.285173318960449e-18,6.464796601628521e-18,2.330732770730649e-17,9.204308930566079e-18,0.0,1.3010426069826053e-17,1.1700407532494265e-17,0.0,1.5697718938764084e-17,0.0,0.0,1.5332377280076988e-17,0.14213139810350967,9.219895524405839e-17,0.09798328116983211,0.759885320726658,2.0117527653708305e-17,3.605729762789546e-17,1.5332377280076988e-17
2014-04-30,CALM,dynamic,2014-04-30,0.0018182601775364,0.033794958720524,0.1421313981035096,0.0,4.4040072387122456e-17,4.6974024953345e-17,1.933194749428506e-18,5.3792816021286716e-18,1.092268952277384e-17,0.0979832811698321,0.0,0.759885320726658,0.0,0.0,2.0117527653708305e-17,6.285173318960449e-18,6.464796601628521e-18,2.330732770730649e-17,9.204308930566079e-18,0.0,1.3010426069826053e-17,1.1700407532494265e-17,0.0,1.5697718938764084e-17,0.0,0.0,1.5332377280076988e-17,0.14213139810350967,9.219895524405839e-17,0.09798328116983211,0.759885320726658,2.0117527653708305e-17,3.605729762789546e-17,1.5332377280076988e-17
2014-05-30,CALM,dynamic,2014-04-30,0.0018182601775364,0.033794958720524,0.1421313981035096,0.0,4.4040072387122456e-17,4.6974024953345e-17,1.933194749428506e-18,5.3792816021286716e-18,1.092268952277384e-17,0.0979832811698321,0.0,0.759885320726658,0.0,0.0,2.0117527653708305e-17,6.285173318960449e-18,6.464796601628521e-18,2.330732770730649e-17,9.204308930566079e-18,0.0,1.3010426069826053e-17,1.1700407532494265e-17,0.0,1.5697718938764084e-17,0.0,0.0,1.5332377280076988e-17,0.14213139810350967,9.219895524405839e-17,0.09798328116983211,0.759885320726658,2.0117527653708305e-17,3.605729762789546e-17,1.5332377280076988e-17
2014-06-30,CALM,dynamic,2014-06-30,0.0018182601775364,0.033794958720524,0.1421313981035096,0.0,4.4040072387122456e-17,4.6974024953345e-17,1.933194749428506e-18,5.3792816021286716e-18,1.092268952277384e-17,0.0979832811698321,0.0,0.759885320726658,0.0,0.0,2.0117527653708305e-17,6.285173318960449e-18,6.464796601628521e-18,2.330732770730649e-17,9.204308930566079e-18,0.0,1.3010426069826053e-17,1.1700407532494265e-17,0.0,1.5697718938764084e-17,0.0,0.0,1.5332377280076988e-17,0.14213139810350967,9.219895524405839e-17,0.09798328116983211,0.759885320726658,2.0117527653708305e-17,3.605729762789546e-17,1.5332377280076988e-17
2014-07-31,NORMAL,dynamic,2014-07-31,0.0018182601775364,0.033794958720524,0.1421313981035096,0.0,4.4040072387122456e-17,4.6974024953345e-17,1.933194749428506e-18,5.3792816021286716e-18,1.092268952277384e-17,0.0979832811698321,0.0,0.759885320726658,0.0,0.0,2.0117527653708305e-17,6.285173318960449e-18,6.464796601628521e-18,2.330732770730649e-17,9.204308930566079e-18,0.0,1.3010426069826053e-17,1.1700407532494265e-17,0.0,1.5697718938764084e-17,0.0,0.0,1.5332377280076988e-17,0.14213139810350967,9.219895524405839e-17,0.09798328116983211,0.759885320726658,2.0117527653708305e-17,3.605729762789546e-17,1.5332377280076988e-17
2014-08-29,CALM,dynamic,2014-07-31,0.0018182601775364,0.033794958720524,0.1421313981035096,0.0,4.4040072387122456e-17,4.6974024953345e-17,1.933194749428506e-18,5.3792816021286716e-18,1.092268952277384e-17,0.0979832811698321,0.0,0.759885320726658,0.0,0.0,2.0117527653708305e-17,6.285173318960449e-18,6.464796601628521e-18,2.330732770730649e-17,9.204308930566079e-18,0.0,1.3010426069826053e-17,1.1700407532494265e-17,0.0,1.5697718938764084e-17,0.0,0.0,1.5332377280076988e-17,0.14213139810350967,9.219895524405839e-17,0.09798328116983211,0.759885320726658,2.0117527653708305e-17,3.605729762789546e-17,1.5332377280076988e-17
2014-09-30,NORMAL,dynamic,2014-09-30,0.0018182601775364,0.033794958720524,0.1421313981035096,0.0,4.4040072387122456e-17,4.6974024953345e-17,1.933194749428506e-18,5.3792816021286716e-18,1.092268952277384e-17,0.0979832811698321,0.0,0.759885320726658,0.0,0.0,2.0117527653708305e-17,6.285173318960449e-18,6.464796601628521e-18,2.330732770730649e-17,9.204308930566079e-18,0.0,1.3010426069826053e-17,1.1700407532494265e-17,0.0,1.5697718938764084e-17,0.0,0.0,1.5332377280076988e-17,0.14213139810350967,9.219895524405839e-17,0.09798328116983211,0.759885320726658,2.0117527653708305e-17,3.605729762789546e-17,1.5332377280076988e-17
2014-10-31,CALM,dynamic,2014-10-31,0.0018182601775364,0.033794958720524,0.1421313981035096,0.0,4.4040072387122456e-17,4.6974024953345e-17,1.933194749428506e-18,5.3792816021286716e-18,1.092268952277384e-17,0.0979832811698321,0.0,0.759885320726658,0.0,0.0,2.0117527653708305e-17,6.285173318960449e-18,6.464796601628521e-18,2.330732770730649e-17,9.204308930566079e-18,0.0,1.3010426069826053e-17,1.1700407532494265e-17,0.0,1.5697718938764084e-17,0.0,0.0,1.5332377280076988e-17,0.14213139810350967,9.219895524405839e-17,0.09798328116983211,0.759885320726658,2.0117527653708305e-17,3.605729762789546e-17,1.5332377280076988e-17
