date,regime,weights_mode,effective_from,q_noise,r_noise,subfactor_w_ev_ebitda,subfactor_w_fcf_yield,subfactor_w_earnings_yield,subfactor_w_roic,subfactor_w_net_debt_ebitda,subfactor_w_gross_margin,subfactor_w_rev_growth_ttm,subfactor_w_eps_growth_fy1,subfactor_w_rev_growth_ntm,subfactor_w_return_12m_ex1,subfactor_w_return_6m,subfactor_w_return_12m,subfactor_w_eps_revision_1m,subfactor_w_delta_roic,subfactor_w_delta_gross_margin,subfactor_w_delta_oper_margin,subfactor_w_gp_over_assets,subfactor_w_accruals,subfactor_w_piotroski_f_score,subfactor_w_ev_ebit,subfactor_w_book_to_price,subfactor_w_rd_intensity,subfactor_w_high52w_proximity,subfactor_w_market_beta_756d,subfactor_w_idiosyncratic_vol_63d,factor_w_value,factor_w_quality,factor_w_growth,factor_w_momentum,factor_w_revisions,factor_w_prof_momentum,factor_w_lowvol
2014-01-30,NORMAL,dynamic,2013-12-31,0.0018093920031217,0.0344820584528151,0.1610947090643916,2.1169418914105926e-16,0.0,6.725287929215476e-17,1.622846498498964e-16,0.0,0.0,0.0,0.2317039073739899,9.055340415620172e-06,0.142205332415029,3.230422377174118e-16,7.38093451840415e-17,0.0,5.99157588971246e-17,0.0,1.7417200663511103e-16,8.247991486278239e-18,3.621687630980447e-17,0.4649869958061724,0.0,9.107040606629612e-17,5.22520579781175e-18,7.17380213316894e-17,0.0,0.6260817048705642,5.39244809639541e-16,0.2317039073739899,0.14221438775544495,7.38093451840415e-17,5.99157588971246e-17,7.17380213316894e-17
2014-02-28,CALM,dynamic,2014-02-28,0.0021935321991211,0.0204341430973067,0.3374710924003538,0.0,0.0,0.0,0.0,3.9450177442870105e-17,4.874405359358217e-17,0.0,0.0,0.6625289075996459,0.0,0.0,1.7630515094710035e-17,0.0,1.2770408771740396e-16,0.0,5.35567433707636e-17,0.0,0.0,0.0,5.575798031091042e-17,2.981369500550867e-17,3.6902931677431526e-17,1.5015262040491137e-17,0.0,0.33747109240035383,1.2282061581914237e-16,4.874405359358217e-17,0.6625289075996459,1.7630515094710035e-17,1.2770408771740396e-16,1.5015262040491137e-17
2014-03-31,CALM,dynamic,2014-03-31,0.0021935321991211,0.0204341430973067,0.5019762300841373,0.3717386134665114,4.2594772991824135e-15,0.0,0.033076095065564,0.0,0.0,0.0,2.401428256757924e-16,1.73306645808724e-05,0.0,0.0,0.0,4.260054895926399e-15,9.30668080313283e-16,0.0,0.0,0.0,0.0,0.0,0.0931917307191918,1.2222668430501116e-15,1.5110652477894757e-15,0.0,1.9970356854548503e-15,0.9669065742698447,0.03307609506556522,2.401428256757924e-16,1.7330664582383467e-05,0.0,5.190722976239682e-15,1.9970356854548503e-15
2014-04-30,CALM,dynamic,2014-04-30,0.0018545268692397,0.0219499561095942,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-05-30,CALM,dynamic,2014-04-30,0.0018545268692397,0.0219499561095942,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-06-30,CALM,dynamic,2014-06-30,0.0018545268692397,0.0219499561095942,3.538835890992686e-16,0.0,0.0,0.0,0.0,2.0816681711721685e-17,2.42861286636753e-16,0.0,0.0,0.9999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.538835890992686e-16,2.0816681711721685e-17,2.42861286636753e-16,0.9999999999999992,0.0,0.0,0.0
2014-07-31,NORMAL,dynamic,2014-07-31,0.0017976914522087,0.0298520028416383,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-08-29,CALM,dynamic,2014-07-31,0.0017976914522087,0.0298520028416383,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-09-30,NORMAL,dynamic,2014-09-30,0.0017976914522087,0.0298520028416383,0.0,6.869504964868156e-16,4.0939474033052647e-16,7.979727989493314e-16,9.645062526431047e-16,2.0816681711721685e-17,4.0939474033052647e-16,2.0816681711721685e-17,3.538835890992686e-16,0.9999999999999912,4.0939474033052647e-16,5.759281940243001e-16,4.0939474033052647e-16,5.759281940243001e-16,3.538835890992686e-16,0.0,7.63278329429795e-17,2.983724378680108e-16,3.538835890992686e-16,2.983724378680108e-16,2.42861286636753e-16,7.979727989493314e-16,0.0,3.538835890992686e-16,4.649058915617843e-16,1.6375789613221059e-15,3.309852392163748e-15,7.840950111415168e-16,0.9999999999999922,4.0939474033052647e-16,9.298117831235686e-16,8.187894806610529e-16
2014-10-31,CALM,dynamic,2014-10-31,0.0016935925097002,0.0323288683247294,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
