date,symbol,qty,price,side,fee,slip
2014-01-31,MPLX,848.0,45.2066,LONG,4.239391999184859,0.024341524846849504
2014-01-31,PKG,593.0,64.6078,LONG,2.9650959957414575,0.007764332587397357
2014-01-31,NVR,33.0,1153.5231,LONG,1.0,0.11306226034329787
2014-01-31,MA,506.0,75.68390000000001,LONG,2.530988389599605,0.003875358986791983
2014-01-31,RMBS,4300.0,8.914900000000001,LONG,21.49777792647566,0.004892881475355143
2014-01-31,SBRA,1324.0,28.937,LONG,6.62098863895258,0.007015230137234955
2014-01-31,ALGN,645.0,59.4288,LONG,3.2235813080595443,0.008836242934140788
2014-01-31,ROL,4578.0,8.3701,LONG,22.889719495012788,0.0018996912775596318
2014-01-31,NVO,1931.0,19.837300000000003,LONG,9.656929736571621,0.002340163459990032
2014-01-31,BIIB,133.0,288.0013,LONG,1.0,0.02829788098405167
2014-01-31,TPL,3639.0,10.5359,LONG,18.192948227574753,0.007323154523127045
2014-01-31,META,612.0,62.5732,LONG,3.061294571278538,0.0032188487425881393
2014-01-31,SHW,627.0,61.091,LONG,3.1356333878640776,0.004441510687117045
2014-01-31,EVR,686.0,55.8553,LONG,3.4302507400590634,0.01533636026964125
2014-01-31,TTC,1209.0,31.6874,LONG,6.0462500418212795,0.007433263970712771
2014-01-31,LVS,501.0,76.52600000000001,LONG,2.5032044083232896,0.005990202709882509
2014-01-31,SPG,263.0,145.5886,LONG,1.3157235042565538,0.006914346957522872
2014-01-31,CL,626.0,61.2329,LONG,3.128290075533205,0.002914555553284632
2014-01-31,HTHT,5765.0,6.652500000000001,LONG,28.825337154269473,0.007462056589997681
2014-01-31,AXON,2385.0,16.070600000000002,LONG,11.926849397565263,0.010597172328070776
2014-01-31,HSY,385.0,99.40740000000001,LONG,1.927014097835997,0.007414454616581436
2014-01-31,CMG,3470.0,11.039900000000001,LONG,17.351366161035052,0.0007403531083355934
2014-01-31,AMZN,2136.0,17.9353,LONG,10.680264368948013,0.0007996281086764176
2014-01-31,UPS,402.0,95.23440000000001,LONG,2.011395582535946,0.004365869401127263
2014-01-31,ELS,1949.0,19.6587,LONG,9.74536765835147,0.003735411680488523
2014-01-31,NFG,508.0,75.3708,LONG,2.5417356863707288,0.010827126035827188
2014-01-31,MKSI,1271.0,30.1396,LONG,6.357291779784206,0.009614900145185729
2014-01-31,SEIC,1125.0,34.0656,LONG,5.623758112886028,0.005630342407655456
2014-01-31,GNTX,2365.0,16.1968,LONG,11.827428300395068,0.0018061777805458187
2014-01-31,TSCO,2880.0,13.3031,LONG,14.399729463606837,0.0011212763979890463
2014-02-28,ALGN,645.0,52.3205,SHORT,3.225,0.009492296218482155
2014-02-28,AMZN,2136.0,18.1038,SHORT,10.68,0.0011918497945341612
2014-02-28,AXON,272.0,19.2279,SHORT,1.3578187393152936,0.002082244614335942
2014-02-28,BIIB,133.0,313.7781,SHORT,1.0,0.02259118980712011
2014-02-28,BKNG,30.0,1348.9087,LONG,1.0,0.06865107667841541
2014-02-28,CGNX,2216.0,18.3448,LONG,11.082301382282953,0.008668912512720907
2014-02-28,CL,626.0,62.8267,SHORT,3.13,0.00325973418975204
2014-02-28,CMG,3470.0,11.3032,SHORT,17.35,0.0010436164116674716
2014-02-28,CRM,652.0,62.3738,LONG,3.258087151562721,0.0037786170140774525
2014-02-28,DXCM,3605.0,11.277600000000001,LONG,18.022784535961588,0.0026277714748622408
2014-02-28,ELS,1949.0,20.122600000000002,SHORT,9.745000000000001,0.002391187286978407
2014-02-28,EVR,686.0,55.6242,SHORT,3.43,0.015774982777565675
2014-02-28,EWBC,1139.0,35.6997,LONG,5.6936647700467065,0.009741771337817097
2014-02-28,FAF,1509.0,26.945500000000003,LONG,7.5429434165912,0.005479289042898069
2014-02-28,GLW,2109.0,19.2712,LONG,10.545246271041355,0.0011638271362756003
2014-02-28,GNTX,2365.0,15.681500000000002,SHORT,11.825000000000001,0.0034954160518866394
2014-02-28,GRMN,757.0,53.6694,LONG,3.786934320592004,0.009433028443281017
2014-02-28,HBM,4956.0,8.2261,LONG,24.781328736947188,0.026140907341418423
2014-02-28,HTHT,5765.0,6.885800000000001,SHORT,28.825,0.006410323050890984
2014-02-28,ICLR,868.0,46.8585,LONG,4.338319719106894,0.01853460291709097
2014-02-28,IPGP,566.0,71.7865,LONG,2.8313626256509257,0.016459874958058857
2014-02-28,LVS,501.0,85.2428,SHORT,2.505,0.007175556478652626
2014-02-28,MA,506.0,77.715,SHORT,2.5300000000000002,0.00499757294884575
2014-02-28,MAR,749.0,54.234500000000004,LONG,3.7471306590995193,0.004465834402312036
2014-02-28,META,612.0,68.4565,SHORT,3.06,0.003510475077458738
2014-02-28,MFC,2141.0,18.9834,LONG,10.706369633454527,0.0034145747947710954
2014-02-28,MKL,70.0,578.0979,LONG,1.0,0.09788482975366126
2014-02-28,MKSI,1271.0,30.0502,SHORT,6.354999999999999,0.009846738910136814
2014-02-28,MOH,1079.0,37.6968,LONG,5.392964321734791,0.016829955030150313
2014-02-28,MRSH,844.0,48.1638,LONG,4.219412284945326,0.003761304182979269
2014-02-28,NFG,508.0,75.1106,SHORT,2.5399999999999996,0.009448065511341893
2014-02-28,NVMI,3587.0,11.3442,LONG,17.93529529064139,0.014203466752623755
