date,regime,weights_mode,effective_from,q_noise,r_noise,subfactor_w_ev_ebitda,subfactor_w_fcf_yield,subfactor_w_earnings_yield,subfactor_w_roic,subfactor_w_net_debt_ebitda,subfactor_w_gross_margin,subfactor_w_rev_growth_ttm,subfactor_w_eps_growth_fy1,subfactor_w_rev_growth_ntm,subfactor_w_return_12m_ex1,subfactor_w_return_6m,subfactor_w_return_12m,subfactor_w_eps_revision_1m,subfactor_w_delta_roic,subfactor_w_delta_gross_margin,subfactor_w_delta_oper_margin,subfactor_w_gp_over_assets,subfactor_w_accruals,subfactor_w_piotroski_f_score,subfactor_w_ev_ebit,subfactor_w_book_to_price,subfactor_w_rd_intensity,subfactor_w_high52w_proximity,subfactor_w_market_beta_756d,subfactor_w_idiosyncratic_vol_63d,factor_w_value,factor_w_quality,factor_w_growth,factor_w_momentum,factor_w_revisions,factor_w_prof_momentum,factor_w_lowvol
2014-01-31,NORMAL,dynamic,2014-01-31,0.0019289382338214,0.0605739341325278,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-02-28,CALM,dynamic,2014-02-28,0.0019289382338214,0.0605739341325278,0.3359544562227513,1.6828993360812782e-18,1.2885106316908443e-16,0.0,2.036458609746273e-17,0.0,0.0,3.329205248784272e-17,5.4405466134405915e-17,0.6569216793838828,0.0,0.0,0.0,0.0,3.622511246551878e-20,1.2978912548084045e-17,0.0071238643933655,0.0,0.0,1.814365386422919e-17,6.803226546782552e-17,0.0,0.0,0.0,0.0,0.33595445622275144,0.0071238643933655196,8.769751862224864e-17,0.6569216793838828,0.0,1.3015137660549563e-17,0.0
2014-03-31,CALM,dynamic,2014-03-31,0.0019289382338214,0.0605739341325278,0.1856659528892235,0.1428833715105191,0.0670490590333941,0.0,0.2354886310094975,0.0,0.0,4.9932034569438504e-18,4.5815299842588945e-17,0.1186422016258269,0.0,4.2040492776091775e-17,0.0,0.0,0.0,2.3071657825066448e-17,0.0,0.0,0.0,3.8515937365358915e-17,0.2502707839315385,4.3949373891006596e-18,0.0,4.181299029040929e-18,0.0,0.6458691673646753,0.2354886310094975,5.080850329953279e-17,0.11864220162582695,0.0,2.3071657825066448e-17,4.181299029040929e-18
2014-04-30,CALM,dynamic,2014-04-30,0.0022977413586318,0.057810993493373,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-05-30,CALM,dynamic,2014-04-30,0.0022977413586318,0.057810993493373,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-06-30,CALM,dynamic,2014-06-30,0.0022977413586318,0.057810993493373,0.0,1.8735013540549514e-16,4.8572257327350605e-17,2.42861286636753e-16,2.0816681711721685e-17,2.983724378680108e-16,0.0,1.3183898417423734e-16,1.3183898417423734e-16,0.9999999999999966,3.538835890992686e-16,0.0,2.983724378680108e-16,0.0,2.0816681711721685e-17,1.8735013540549514e-16,2.983724378680108e-16,2.983724378680108e-16,2.42861286636753e-16,1.3183898417423734e-16,0.0,0.0,1.8735013540549514e-16,1.8735013540549514e-16,1.3183898417423734e-16,3.677613769070831e-16,1.4016565685892601e-15,2.636779683484747e-16,0.9999999999999971,2.983724378680108e-16,2.0816681711721683e-16,3.191891195797325e-16
2014-07-31,NORMAL,dynamic,2014-07-31,0.0023385851960529,0.0629457200043447,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-08-29,CALM,dynamic,2014-07-31,0.0023385851960529,0.0629457200043447,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-09-30,NORMAL,dynamic,2014-09-30,0.0023385851960529,0.0629457200043447,0.0,0.0,0.0,0.0,1.3183898417423734e-16,0.0,0.0,0.0,1.3183898417423734e-16,0.9999999999999986,7.63278329429795e-17,0.0,0.0,0.0,0.0,0.0,3.538835890992686e-16,1.3183898417423734e-16,0.0,2.0816681711721685e-17,0.0,1.3183898417423734e-16,1.3183898417423734e-16,1.3183898417423734e-16,2.42861286636753e-16,2.0816681711721685e-17,7.494005416219807e-16,1.3183898417423734e-16,0.9999999999999988,0.0,0.0,3.7470027081099033e-16
2014-10-31,CALM,dynamic,2014-10-31,0.0023149704010487,0.0639116097234287,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-11-28,CALM,dynamic,2014-10-31,0.0023149704010487,0.0639116097234287,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-12-31,NORMAL,dynamic,2014-12-31,0.0023149704010487,0.0639116097234287,0.0,0.0,0.0,0.0,0.1505759118748429,0.0,0.0,0.0,1.3967012572807637e-17,0.7551343295662798,1.3169724524868288e-16,0.0,6.8820520881059425e-18,0.0,0.0,0.0,0.0942897585588769,2.776028881010686e-17,5.0060282968889713e-17,0.0,4.518925978199499e-17,2.207236998740949e-17,6.08691444106766e-17,1.1829369133543589e-17,0.0,4.518925978199499e-17,0.24486567043371993,1.3967012572807637e-17,0.75513432956628,6.8820520881059425e-18,0.0,1.1829369133543589e-17
2015-01-30,NORMAL,dynamic,2014-12-31,0.0023149704010487,0.0639116097234287,0.0,0.0,0.0,0.0,0.1505759118748429,0.0,0.0,0.0,1.3967012572807637e-17,0.7551343295662798,1.3169724524868288e-16,0.0,6.8820520881059425e-18,0.0,0.0,0.0,0.0942897585588769,2.776028881010686e-17,5.0060282968889713e-17,0.0,4.518925978199499e-17,2.207236998740949e-17,6.08691444106766e-17,1.1829369133543589e-17,0.0,4.518925978199499e-17,0.24486567043371993,1.3967012572807637e-17,0.75513432956628,6.8820520881059425e-18,0.0,1.1829369133543589e-17
2015-02-27,CALM,dynamic,2015-01-31,0.0021225007997729,0.0320379217304703,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2015-03-31,NORMAL,dynamic,2015-03-31,0.0021225007997729,0.0320379217304703,1.3183898417423734e-16,1.3183898417423734e-16,0.0,0.0,0.0,0.0,0.0,7.979727989493314e-16,0.0,0.999999999999998,0.0,0.0,7.63278329429795e-17,0.0,2.0816681711721685e-17,0.0,7.63278329429795e-17,4.649058915617843e-16,0.0,0.0,1.8735013540549514e-16,0.0,0.0,0.0,0.0,4.510281037539698e-16,5.412337245047638e-16,7.979727989493314e-16,0.999999999999998,7.63278329429795e-17,2.0816681711721685e-17,0.0
2015-04-30,CALM,dynamic,2015-04-30,0.0020568714468031,0.0333308005684164,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2015-05-29,CALM,dynamic,2015-04-30,0.0020568714468031,0.0333308005684164,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2015-06-30,NORMAL,dynamic,2015-06-30,0.0020568714468031,0.0333308005684164,1.3183898417423734e-16,0.0,1.3183898417423734e-16,1.8735013540549514e-16,0.0,2.42861286636753e-16,0.0,2.0816681711721685e-17,0.0,0.9999999999999962,3.261280134836397e-16,5.759281940243001e-16,0.0,1.3183898417423734e-16,1.3183898417423734e-16,2.42861286636753e-16,1.5959455978986623e-16,3.538835890992686e-16,2.1510571102112408e-16,1.8735013540549514e-16,2.983724378680108e-16,1.8735013540549514e-16,2.0816681711721685e-17,1.8735013540549514e-16,0.0,7.494005416219807e-16,1.3461454173580023e-15,2.0816681711721685e-17,0.9999999999999971,0.0,5.065392549852277e-16,1.8735013540549514e-16
2015-07-31,CALM,dynamic,2015-07-31,0.0023466478648046,0.0328020473890418,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2015-08-31,STRESS,dynamic,2015-08-31,0.0023466478648046,0.0328020473890418,2.1510571102112408e-16,1.0408340855860844e-16,7.63278329429795e-17,1.5959455978986623e-16,2.0816681711721685e-17,0.0,0.0,4.8572257327350605e-17,1.3183898417423734e-16,0.999999999999998,1.3183898417423734e-16,1.3183898417423734e-16,3.538835890992686e-16,7.63278329429795e-17,0.0,0.0,1.3183898417423734e-16,1.8735013540549514e-16,2.0816681711721685e-17,0.0,2.0816681711721685e-17,0.0,0.0,0.0,1.0408340855860844e-16,4.163336342344337e-16,5.204170427930421e-16,1.8041124150158794e-16,0.9999999999999982,3.538835890992686e-16,7.63278329429795e-17,1.0408340855860844e-16
2015-09-30,NORMAL,dynamic,2015-09-30,0.0023466478648046,0.0328020473890418,0.0,0.0,7.54515374868323e-17,0.0,3.126705218212752e-17,1.0473965121449055e-16,0.0,0.0,1.2537784525415878e-17,0.9065863962608852,0.0,1.246877935433984e-17,1.0555137605519852e-17,4.33952840456237e-17,9.8352947386792e-17,0.0,1.5263057225516928e-17,3.6063800331957606e-17,0.0,8.658474268943405e-18,6.771200180349837e-17,0.0,1.2076383984977759e-17,0.0934136037391141,0.0,1.5182201355927407e-16,1.8733356095409258e-16,1.2537784525415878e-17,0.9065863962608852,1.0555137605519852e-17,1.417482314324157e-16,0.0934136037391141
