date,regime,weights_mode,effective_from,q_noise,r_noise,subfactor_w_ev_ebitda,subfactor_w_fcf_yield,subfactor_w_earnings_yield,subfactor_w_roic,subfactor_w_net_debt_ebitda,subfactor_w_gross_margin,subfactor_w_rev_growth_ttm,subfactor_w_eps_growth_fy1,subfactor_w_rev_growth_ntm,subfactor_w_return_12m_ex1,subfactor_w_return_6m,subfactor_w_return_12m,subfactor_w_eps_revision_1m,subfactor_w_delta_roic,subfactor_w_delta_gross_margin,subfactor_w_delta_oper_margin,subfactor_w_gp_over_assets,subfactor_w_accruals,subfactor_w_piotroski_f_score,subfactor_w_ev_ebit,subfactor_w_book_to_price,subfactor_w_rd_intensity,subfactor_w_high52w_proximity,subfactor_w_market_beta_756d,subfactor_w_idiosyncratic_vol_63d,factor_w_value,factor_w_quality,factor_w_growth,factor_w_momentum,factor_w_revisions,factor_w_prof_momentum,factor_w_lowvol
2014-01-30,NORMAL,dynamic,2013-12-31,0.0018093920030899,0.0344820584925905,0.1610947217688573,7.418488266244002e-17,0.0,4.536487452924325e-17,0.0,4.6522725844438165e-18,6.375788224762028e-16,0.0,0.2317039105409776,9.05455875610528e-06,0.1422053204652557,0.0,0.0,4.4059471501965024e-17,0.0,0.0,0.0,0.0,0.0,0.4649869926661522,0.0,0.0,0.0,6.796803613334512e-17,8.748482935209481e-17,0.6260817144350096,5.001714711368707e-17,0.23170391054097825,0.1422143750240118,0.0,4.4059471501965024e-17,1.5545286548543992e-16
2014-02-28,CALM,dynamic,2014-02-28,0.0021935321991543,0.0204341430950691,0.3374711198767389,0.0,0.0,0.0,2.0721802534192898e-17,0.0,9.438606100948738e-19,0.0,0.0,0.6625288801232609,0.0,0.0,0.0,0.0,6.69920324995605e-17,7.525887610499173e-17,0.0,1.6531712995122573e-17,0.0,0.0,5.760849524850317e-17,0.0,5.961895579842637e-19,1.457265391016911e-17,1.2837037075154585e-17,0.33747111987673895,3.725351552931547e-17,9.438606100948738e-19,0.6625288801232609,0.0,1.4225090860455222e-16,2.7409690985323692e-17
2014-03-31,CALM,dynamic,2014-03-31,0.0021935321991543,0.0204341430950691,0.5019762461028568,0.3717386163972149,0.0,9.06739558089356e-16,0.0330760735510837,9.346720693130845e-16,1.196532802650111e-15,5.421537315509682e-16,2.826732642844442e-16,1.7331019381172652e-05,8.125980751753481e-16,7.4742835462813225e-16,4.3693576914856885e-16,0.0,1.5640563870506499e-16,2.4833567907850963e-16,1.3039289110573324e-15,4.470702847239818e-16,0.0,7.75567484158759e-16,0.0931917329294533,0.0,1.239130501869473e-16,1.0532814739151196e-15,0.0,0.9669065954295257,0.03307607355108729,2.0213597984855233e-15,1.7331019382856594e-05,4.3693576914856885e-16,4.047413177835746e-16,1.0532814739151196e-15
2014-04-30,CALM,dynamic,2014-04-30,0.0018545268692428,0.0219499561095509,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-05-30,CALM,dynamic,2014-04-30,0.0018545268692428,0.0219499561095509,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-06-30,CALM,dynamic,2014-06-30,0.0018545268692428,0.0219499561095509,0.0,2.0816681711721685e-17,1.3183898417423734e-16,0.0,2.42861286636753e-16,1.3183898417423734e-16,0.0,2.0816681711721685e-17,0.0,0.9999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,1.3183898417423734e-16,0.0,7.63278329429795e-17,2.0816681711721685e-17,0.0,0.0,0.0,0.0,2.498001805406602e-16,5.273559366969494e-16,2.0816681711721685e-17,0.9999999999999992,0.0,0.0,0.0
2014-07-31,NORMAL,dynamic,2014-07-31,0.0017976914522078,0.0298520028416175,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-08-29,CALM,dynamic,2014-07-31,0.0017976914522078,0.0298520028416175,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-09-30,NORMAL,dynamic,2014-09-30,0.0017976914522078,0.0298520028416175,1.186550857568136e-15,0.0,9.08995101411847e-16,2.0816681711721685e-17,3.538835890992686e-16,0.0,0.0,5.204170427930421e-16,2.983724378680108e-16,0.9999999999999912,6.314393452555578e-16,1.0200174038743626e-15,2.42861286636753e-16,4.649058915617843e-16,1.3183898417423734e-16,5.204170427930421e-16,2.42861286636753e-16,2.42861286636753e-16,2.0816681711721685e-17,1.8735013540549514e-16,4.0939474033052647e-16,6.314393452555578e-16,1.3183898417423734e-16,2.42861286636753e-16,2.42861286636753e-16,2.6922908347160046e-15,1.5126788710517758e-15,8.187894806610529e-16,0.999999999999993,2.42861286636753e-16,1.1171619185290638e-15,4.85722573273506e-16
2014-10-31,CALM,dynamic,2014-10-31,0.0016935925097003,0.03232886832473,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
