date,regime,weights_mode,effective_from,q_noise,r_noise,subfactor_w_ev_ebitda,subfactor_w_fcf_yield,subfactor_w_earnings_yield,subfactor_w_roic,subfactor_w_net_debt_ebitda,subfactor_w_gross_margin,subfactor_w_rev_growth_ttm,subfactor_w_eps_growth_fy1,subfactor_w_rev_growth_ntm,subfactor_w_return_12m_ex1,subfactor_w_return_6m,subfactor_w_return_12m,subfactor_w_eps_revision_1m,subfactor_w_delta_roic,subfactor_w_delta_gross_margin,subfactor_w_delta_oper_margin,subfactor_w_gp_over_assets,subfactor_w_accruals,subfactor_w_piotroski_f_score,subfactor_w_ev_ebit,subfactor_w_book_to_price,subfactor_w_rd_intensity,subfactor_w_high52w_proximity,subfactor_w_market_beta_756d,subfactor_w_idiosyncratic_vol_63d,factor_w_value,factor_w_quality,factor_w_growth,factor_w_momentum,factor_w_revisions,factor_w_prof_momentum,factor_w_lowvol
2014-01-31,NORMAL,dynamic,2014-01-31,0.0,0.01,0.0494630929715519,0.057916544214547,1.9508166849700737e-17,0.0,0.0501672511238174,0.0791203069761146,0.0,0.0388919082685445,0.0,0.2914494140119634,0.0,1.1895552141479105e-17,0.100299732039798,0.0,0.0,0.1749786254337945,0.0,0.1429314071968014,1.3714800561467904e-17,8.538724268010492e-19,0.0091274394173283,8.538492207908192e-08,0.0,8.007563065601779e-18,0.0056541929608164,0.11650707660342721,0.2722190506816555,0.0388919082685445,0.2914494140119634,0.100299732039798,0.1749786254337945,0.005654192960816408
2014-02-28,CALM,dynamic,2014-02-28,0.0,0.01,0.1635859601434363,4.518472952489336e-20,0.0342176895400687,0.0405328701881353,1.2302839141388634e-18,3.5336143803453076e-18,0.0422648732923277,0.020121716192543,0.0879074142459699,0.1899687307322502,0.0553196050873184,2.3869490927479258e-18,0.0285299536594024,0.0590549312988857,0.0,0.0485796157661174,0.1011640310784586,0.0218310210907617,0.0498101001438852,0.0199720132354222,0.0,1.968534233735361e-07,4.814152646801275e-19,4.55377741515292e-19,0.0371392774515932,0.2177756629189272,0.21333821935466418,0.1502940037308406,0.2452883358195686,0.0285299536594024,0.1076345470650031,0.0371392774515932
2014-03-31,CALM,dynamic,2014-03-31,0.0,0.01,0.1903649751116435,0.1936449346295136,0.0921744472127877,5.835002700693023e-18,0.1764276083643762,8.8044110156393e-18,1.9271580919910944e-18,2.6080833907686322e-17,6.706492768531414e-18,0.0959059534610511,0.0,1.8008799639215154e-18,2.4187639460810238e-17,0.0350226894534386,2.5946146354424973e-18,0.023790083489942,5.274115788870842e-18,1.507688505694405e-17,1.328319173680985e-18,0.0,0.1768567395708954,0.0,4.163191112265956e-18,0.0158125687063514,8.838284973834058e-18,0.6530410965248402,0.17642760836437624,3.471448476820883e-17,0.0959059534610511,2.4187639460810238e-17,0.0588127729433806,0.01581256870635141
2014-04-30,CALM,dynamic,2014-04-30,0.0,0.01,0.0,0.0232110691168788,0.1146784027326111,0.0,1.1694564890384456e-17,0.0,0.0,0.0203731721146452,0.0,0.2123702787120089,2.867150150679017e-17,1.0636438996837596e-17,0.0,0.058565559745265,0.0,0.1436970382392847,0.0064762427494985,0.0848140010914164,0.0,0.1758815942235981,0.0489414052121191,3.791771398806244e-19,1.4157390116386976e-17,0.0,0.1109912360626739,0.3627124712852071,0.09129024384091491,0.0203731721146452,0.21237027871200895,0.0,0.2022625979845497,0.1109912360626739
2014-05-30,CALM,dynamic,2014-04-30,0.0,0.01,0.0,0.0232110691168788,0.1146784027326111,0.0,1.1694564890384456e-17,0.0,0.0,0.0203731721146452,0.0,0.2123702787120089,2.867150150679017e-17,1.0636438996837596e-17,0.0,0.058565559745265,0.0,0.1436970382392847,0.0064762427494985,0.0848140010914164,0.0,0.1758815942235981,0.0489414052121191,3.791771398806244e-19,1.4157390116386976e-17,0.0,0.1109912360626739,0.3627124712852071,0.09129024384091491,0.0203731721146452,0.21237027871200895,0.0,0.2022625979845497,0.1109912360626739
2014-06-30,CALM,dynamic,2014-06-30,0.0,0.01,0.0003900861012726,0.0003395920252932,0.1385996884554935,1.3815140101307118e-18,0.0124503032809024,0.0411913469354376,0.052301385762127,0.0112397944085789,0.0230175440096544,0.4400209387031913,0.0145494599701055,0.0,0.013534011669621,0.0600080555106769,0.0,0.059185560855244,1.574659568178159e-18,0.1331722322402796,1.6645700322009732e-18,0.0,0.0,7.21213757368058e-11,3.329173704568467e-18,0.0,0.0,0.1393293665820593,0.18681388252874098,0.0865587241803603,0.4545703986732968,0.013534011669621,0.1191936163659209,0.0
2014-07-31,NORMAL,dynamic,2014-07-31,0.0,0.01,3.010740124509721e-17,0.0222684825525056,0.0,0.0621919819303974,0.0,0.0495235728452011,2.4855496099080625e-17,0.0254667171173693,0.0511021680783673,0.3803172552783724,0.0,7.003034758634243e-17,0.0059110264477934,0.0675555707953987,0.0,0.1040792225162713,7.5363844074036865e-19,5.484119077118114e-20,0.0,0.0334161396832419,0.1133571315538086,0.0,0.0,0.0,0.0848107312012724,0.16904175378955613,0.1117155547755985,0.07656888519573662,0.38031725527837246,0.0059110264477934,0.17163479331167,0.0848107312012724
2014-08-29,CALM,dynamic,2014-07-31,0.0,0.01,3.010740124509721e-17,0.0222684825525056,0.0,0.0621919819303974,0.0,0.0495235728452011,2.4855496099080625e-17,0.0254667171173693,0.0511021680783673,0.3803172552783724,0.0,7.003034758634243e-17,0.0059110264477934,0.0675555707953987,0.0,0.1040792225162713,7.5363844074036865e-19,5.484119077118114e-20,0.0,0.0334161396832419,0.1133571315538086,0.0,0.0,0.0,0.0848107312012724,0.16904175378955613,0.1117155547755985,0.07656888519573662,0.38031725527837246,0.0059110264477934,0.17163479331167,0.0848107312012724
2014-09-30,NORMAL,dynamic,2014-09-30,0.0,0.01,0.0519445934287671,0.1549708689748822,1.5595827506251912e-18,0.050017756626902,0.0128804947731268,0.0,0.0,0.0364039679595962,0.0081055181849697,0.3745596596345316,0.0144789567118262,1.806457555425478e-18,3.0460423165888383e-18,0.0,0.0,0.0293929918336218,0.0716017618841316,0.0,0.0,0.0373848756454738,0.0,2.6668166145649317e-11,1.5421358946118296e-18,0.1138744381223623,0.0443841161931398,0.24430033804912307,0.13450001331082856,0.0445094861445659,0.3890386163463578,3.0460423165888383e-18,0.0293929918336218,0.1582585543155021
2014-10-31,CALM,dynamic,2014-10-31,0.0,0.01,5.78670193659553e-17,0.0318950013379122,4.215470422742097e-17,0.0627369163388456,3.3755556351268253e-18,0.0,5.209373768823648e-18,0.0,0.0509016264347966,0.4449762612275384,0.0,0.0,0.0457296069074281,0.0390993559582313,0.0100240719949281,0.1798598406161045,0.0420059015200236,0.0555447277835073,0.0,0.0353129386056272,0.0,1.1797809784622126e-20,1.86886746575141e-18,1.7637089839120943e-18,0.0019137512750564,0.06720793994353949,0.1602875456423765,0.05090162643479661,0.4449762612275384,0.0457296069074281,0.2289832685692639,0.0019137512750564017
