date,symbol,qty,price,side,fee,slip
2014-01-31,AGX,1564.0,26.515900000000002,LONG,7.820394533283777,0.029307734107930267
2014-01-31,SBS,4546.0,8.8698,LONG,22.73244259397509,0.0026954565465632865
2014-01-31,AMP,544.0,105.6496,LONG,2.7198704158672586,0.00960225440526127
2014-01-31,BMA,2102.0,14.090800000000002,LONG,10.51059651175804,0.017716103216272306
2014-01-31,MKC.V,5862.0,32.5032,LONG,29.309572704446133,0.15323681443701884
2014-01-31,KOF,687.0,106.2834,LONG,3.436834369315303,0.043406552787854005
2014-01-31,MSCI,1851.0,42.730900000000005,LONG,9.254270264103802,0.01091556834990551
2014-01-31,GLW,3937.0,17.2119,LONG,19.683979868398033,0.0019328382225487202
2014-01-31,UI,506.0,41.213,LONG,2.531492290976717,0.012975589358736314
2014-01-31,ELS,3330.0,19.6595,LONG,16.64801408600451,0.004544437300541116
2014-01-31,BBY,948.0,22.942500000000003,LONG,4.741549524013469,0.003914422583939352
2014-01-31,BAP,1010.0,93.50450000000001,LONG,5.051295922443656,0.022416903762167418
2014-01-31,KMB,1257.0,104.8306,LONG,6.286689602749179,0.006921140734043459
2014-01-31,J,1334.0,49.790800000000004,LONG,6.668157813501559,0.008191589417016648
2014-01-31,NVO,5932.0,19.8386,LONG,29.66144331571344,0.003624844653788312
2014-01-31,V,968.0,53.860400000000006,LONG,4.841270596525768,0.0028986163735932598
2014-01-31,MU,1136.0,23.041700000000002,LONG,5.678464568520201,0.0017451131530836824
2014-01-31,EXP,314.0,78.7604,LONG,1.5691170302066,0.010354978105189639
2014-01-31,RIO,987.0,48.3956,LONG,4.934729078282826,0.006388443453510577
2014-01-31,FR,2130.0,17.162300000000002,LONG,10.65089877193724,0.0023223295148218966
2014-02-28,AGX,1564.0,26.626,SHORT,7.82,0.028393846825140748
2014-02-28,AIZ,3138.0,65.6442,LONG,15.69197895819809,0.014192152448510197
2014-02-28,AMP,544.0,108.9787,SHORT,2.72,0.01131164809207074
2014-02-28,AX,2614.0,23.2859,LONG,13.068665455371352,0.010904986620256784
2014-02-28,BAP,1010.0,92.0219,SHORT,5.05,0.028811385254009187
2014-02-28,BBY,948.0,25.9478,SHORT,4.74,0.0018059982485957575
2014-02-28,BMA,2102.0,18.0865,SHORT,10.51,0.027361350824598417
2014-02-28,CENX,4480.0,11.847100000000001,LONG,22.398106873419177,0.007141116287070625
2014-02-28,CTAS,14023.0,14.99,LONG,70.11509684483651,0.0054780637861346635
2014-02-28,DXCM,5521.0,11.2782,LONG,27.60431929932328,0.0031539755159778983
2014-02-28,ELS,3330.0,20.1222,SHORT,16.65,0.0027847636954955977
2014-02-28,ENPH,1787.0,8.077300000000001,LONG,8.935712913692738,0.007275072288965264
2014-02-28,EXP,314.0,88.38640000000001,SHORT,1.57,0.013601249408507779
2014-02-28,FNV,1162.0,51.1657,LONG,5.8095352077082225,0.015706149750510594
2014-02-28,FR,2130.0,19.2358,SHORT,10.65,0.0042496930187786
2014-02-28,FRO,1052.0,22.0619,LONG,5.259064125440327,0.011943117651517784
2014-02-28,GGAL,5704.0,8.522400000000001,LONG,28.520450074996113,0.008847216003694293
2014-02-28,GLW,3937.0,19.2686,SHORT,19.685000000000002,0.0014136575669850035
2014-02-28,GSAT,863.0,34.083200000000005,LONG,4.316410720144962,0.03315874962729522
2014-02-28,HOMB,5674.0,16.7911,LONG,28.369988710568457,0.011130799782549194
2014-02-28,INCY,545.0,64.2694,LONG,2.7248664010336503,0.009437849939185082
2014-02-28,J,1334.0,49.7263,SHORT,6.67,0.0070217021387945795
2014-02-28,JAZZ,613.0,151.9701,LONG,3.0631584890757724,0.02512393826518462
