date,regime,weights_mode,effective_from,q_noise,r_noise,subfactor_w_ev_ebitda,subfactor_w_fcf_yield,subfactor_w_earnings_yield,subfactor_w_roic,subfactor_w_net_debt_ebitda,subfactor_w_gross_margin,subfactor_w_rev_growth_ttm,subfactor_w_eps_growth_fy1,subfactor_w_rev_growth_ntm,subfactor_w_return_12m_ex1,subfactor_w_return_6m,subfactor_w_return_12m,subfactor_w_eps_revision_1m,subfactor_w_delta_roic,subfactor_w_delta_gross_margin,subfactor_w_delta_oper_margin,subfactor_w_gp_over_assets,subfactor_w_accruals,subfactor_w_piotroski_f_score,subfactor_w_ev_ebit,subfactor_w_book_to_price,subfactor_w_rd_intensity,subfactor_w_high52w_proximity,subfactor_w_market_beta_756d,subfactor_w_idiosyncratic_vol_63d,factor_w_value,factor_w_quality,factor_w_growth,factor_w_momentum,factor_w_revisions,factor_w_prof_momentum,factor_w_lowvol
2014-01-31,NORMAL,dynamic,2014-01-31,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-02-28,CALM,dynamic,2014-02-28,0.0,0.01,0.3349580941256742,7.325513377401252e-18,4.306758377323089e-17,0.0,5.411170667904572e-17,1.2066837628274264e-17,0.0,0.0,0.0,0.6580690803570508,5.707687180401847e-17,0.0,0.0,7.32763480594729e-18,7.138805144397925e-17,3.744628995336274e-19,0.0069728255172746,3.1848982407305165e-17,2.1439809220112844e-17,0.0,1.7204475034220302e-17,0.0,1.45233223268432e-17,1.006136334958124e-17,6.8259594658863344e-18,0.33495809412567423,0.00697282551727472,0.0,0.6580690803570509,0.0,7.909014914946016e-17,1.6887322815467575e-17
2014-03-31,CALM,dynamic,2014-03-31,0.0,0.01,0.185149997650547,0.1424717431309931,0.066467822241362,2.2403530574274712e-17,0.2362980707902251,0.0,0.0,0.0,5.3568516828348766e-17,0.1196385055444352,6.464326020798004e-17,0.0,1.6139851501066644e-17,0.0,2.9662284014573895e-17,1.3029791494012934e-17,2.5827994625793028e-17,0.0,0.0,0.0,0.2499738606424372,6.7418871459979264e-18,0.0,3.072785763673199e-17,6.865298279761006e-18,0.6440634236653393,0.23629807079022516,5.3568516828348766e-17,0.11963850554443527,1.6139851501066644e-17,4.269207550858683e-17,3.7593155916492994e-17
2014-04-30,CALM,dynamic,2014-04-30,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-05-30,CALM,dynamic,2014-04-30,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-06-30,CALM,dynamic,2014-06-30,0.0,0.01,0.0,0.0,0.0,1.8735013540549514e-16,0.0,7.63278329429795e-17,0.0,0.0,2.0816681711721685e-17,0.9999999999999996,0.0,2.0816681711721685e-17,2.0816681711721685e-17,0.0,0.0,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.844946500601963e-16,2.0816681711721685e-17,0.9999999999999996,2.0816681711721685e-17,0.0,0.0
2014-07-31,NORMAL,dynamic,2014-07-31,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-08-29,CALM,dynamic,2014-07-31,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2014-09-30,NORMAL,dynamic,2014-09-30,0.0,0.01,7.424616477180734e-16,0.0,0.0,0.0,1.8735013540549514e-16,0.0,0.0,3.538835890992686e-16,0.0,0.9999999999999984,0.0,0.0,0.0,0.0,0.0,1.8735013540549514e-16,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,7.63278329429795e-17,0.0,1.3183898417423734e-16,7.424616477180734e-16,2.0816681711721683e-16,3.538835890992686e-16,0.9999999999999986,0.0,1.8735013540549514e-16,1.3183898417423734e-16
2014-10-31,CALM,dynamic,2014-10-31,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
