date,symbol,qty,price,side,fee,slip
2014-01-31,SBS,12546.0,8.8713,LONG,62.73135467290674,0.00414474725445226
2014-01-31,BMA,3113.0,14.094100000000001,LONG,15.566710088370337,0.020991948216320593
2014-01-31,NVO,6217.0,19.8387,LONG,31.085279758149955,0.0036958088963618204
2014-01-31,PKG,1909.0,64.6123,LONG,9.544528235339078,0.012291761677529104
2014-01-31,AMP,808.0,105.6511,LONG,4.040840015715264,0.011125948823797579
2014-01-31,PPC,85.0,10.713600000000001,LONG,1.0,0.0009204952587771875
2014-01-31,TPL,8145.0,10.5386,LONG,40.724900524774846,0.010037971137912705
2014-01-31,OHI,907.0,31.942600000000002,LONG,4.5357309259908964,0.002571919331185789
2014-01-31,WAL,1610.0,22.4281,LONG,8.051858551807594,0.008079241366435718
2014-01-31,BBY,516.0,22.9416,LONG,2.5784367630841416,0.0030371720011430517
2014-02-28,AMP,304.0,108.9991,LONG,1.5219918806740662,0.00914804731395298
2014-02-28,BBY,516.0,25.9482,SHORT,2.58,0.0015025301704662934
2014-02-28,BMA,2634.0,18.0836,SHORT,13.169409569511346,0.030284117286224932
2014-02-28,BTG,63.0,2.8705000000000003,LONG,1.0,0.0004600789392820817
2014-02-28,ELS,3539.0,20.1278,LONG,17.697343766146307,0.002836644304887355
2014-02-28,MA,542.0,77.7251,LONG,2.708975405629925,0.0051037691061912
2014-02-28,NVO,1115.0,23.7621,SHORT,5.5768369419454515,0.0029407149339103185
2014-02-28,OHI,907.0,31.9568,SHORT,4.535,0.003172122811513926
2014-02-28,PKG,1909.0,72.86460000000001,SHORT,9.545,0.02544009220759039
2014-02-28,PPC,2097.0,11.2288,LONG,10.4866598017579,0.0038049275856344156
2014-02-28,ROL,13984.0,8.6768,LONG,69.91821654255692,0.006644325982461822
2014-02-28,SBS,3840.0,8.999600000000001,SHORT,19.201060508323557,0.0035269193182883
2014-02-28,TPL,5563.0,14.157200000000001,SHORT,27.81447642923889,0.02041838868633287
2014-02-28,UI,933.0,49.4195,LONG,4.6669044909018025,0.009471526181759109
2014-03-31,AMP,6.0,110.06660000000001,SHORT,1.0,0.0034100237697182716
