date,regime,weights_mode,q_noise,r_noise,factor_w_value,subfactor_w_ev_ebitda,subfactor_w_fcf_yield,subfactor_w_earnings_yield,subfactor_w_ev_ebit,subfactor_w_book_to_price,factor_w_quality,subfactor_w_roic,subfactor_w_net_debt_ebitda,subfactor_w_gross_margin,subfactor_w_gp_over_assets,subfactor_w_accruals,subfactor_w_piotroski_f_score,subfactor_w_rd_intensity,factor_w_growth,subfactor_w_rev_growth_ttm,subfactor_w_eps_growth_fy1,subfactor_w_rev_growth_ntm,factor_w_momentum,subfactor_w_return_12m_ex1,subfactor_w_return_6m,subfactor_w_return_12m,subfactor_w_high52w_proximity,factor_w_revisions,subfactor_w_eps_revision_1m,factor_w_prof_momentum,subfactor_w_delta_roic,subfactor_w_delta_gross_margin,subfactor_w_delta_oper_margin,factor_w_lowvol,subfactor_w_market_beta_756d,subfactor_w_idiosyncratic_vol_63d,alpha,warmup_months,decision_at,effective_from
2014-01-30,NORMAL,dynamic,0.0,0.01,0.2,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.2,0.028560000000000002,0.028560000000000002,0.028560000000000002,0.02858,0.02858,0.02858,0.02858,0.15,0.06,0.06,0.03,0.2,0.05,0.05,0.05,0.05,0.1,0.1,0.15,0.075,0.045,0.03,0.0,0.0,0.0,,,,
2014-02-28,CALM,dynamic,0.0057034457361734,0.0621720060796093,8.542488759311265e-17,0.0,1.7618125053665898e-17,0.0,1.7182097094626328e-18,6.608855282998412e-17,0.9189464687231609,9.076740377856464e-18,0.0,5.954414780815583e-18,5.4792437881497014e-17,0.9189464687231608,1.0610348294273253e-17,4.202898357110848e-17,7.415225827256158e-17,7.415225827256158e-17,0.0,0.0,0.08105353127683879,0.0810535312768386,1.0603190571414102e-16,2.1191744723273257e-17,3.539915014661481e-17,0.0,0.0,8.118973566477323e-18,0.0,6.3027663273081045e-18,1.8162072391692186e-18,1.1106510104581476e-17,0.0,1.1106510104581476e-17,0.55,48.0,2014-01-31,2014-02-03
2014-03-31,CALM,dynamic,0.0056594085341313,0.0621720060796093,0.8670953117285527,0.8670953117285527,0.0,3.136268791601628e-17,0.0,0.0,9.100840499453508e-17,3.029184994370896e-17,3.6376128785023187e-17,2.4340426265802938e-17,0.0,0.0,0.0,0.0,6.9288117090798425e-18,0.0,0.0,6.9288117090798425e-18,0.1329046882714469,0.1329046882714469,0.0,0.0,0.0,0.0,0.0,1.424059698507577e-16,4.643579954996089e-17,9.597017030079681e-17,0.0,9.34476601038048e-17,3.0650670273444445e-17,6.279698983036035e-17,0.55,48.0,2014-02-28,2014-03-03
2014-04-30,CALM,dynamic,0.0056530272389373,0.0621720060796093,0.9748399474269941,0.974839947426994,0.0,9.6027423665335e-17,0.0,0.0,2.1610130939105981e-16,0.0,0.0,4.5408861222661313e-17,0.0,1.6024851995248278e-16,9.812682997110708e-18,6.312452188050226e-19,4.816425907620619e-16,2.16803355386692e-16,0.0,2.6483923537536997e-16,0.02516005257300499,0.0,6.99082133907759e-17,0.0251600525730049,2.1564056175117162e-17,4.5599991953283764e-17,4.5599991953283764e-17,7.39593041000484e-17,0.0,4.196647884372186e-17,3.1992825256326546e-17,2.5708750501903688e-17,1.795670496863231e-17,7.752045533271378e-18,0.55,48.0,2014-03-31,2014-04-01
2014-05-30,CALM,dynamic,0.0056105240889823,0.0621720060796093,0.6315484856502694,0.6315484856502693,0.0,0.0,0.0,9.270089292143194e-17,0.36310325643584734,1.1837984000579954e-17,2.630345949986585e-18,8.05616514962539e-18,0.0,0.3631032564358471,0.0,2.099519089319109e-16,6.910651449351901e-17,1.8323838354995818e-17,7.586140350574896e-18,4.319653578794829e-17,5.2505258812903737e-17,3.137918713004514e-18,4.9367340099899225e-17,0.0,0.0,2.5229980369383223e-16,2.5229980369383223e-16,0.0053482579138827,0.0053482579138827,0.0,0.0,0.0,0.0,0.0,0.55,48.0,2014-04-30,2014-05-01
2014-06-30,CALM,dynamic,0.0055703303481004,0.0621720060796093,4.689964413028961e-16,2.387960569576404e-16,0.0,8.614039107168163e-17,8.093622064375122e-17,6.312377262982283e-17,1.1426649327090547e-15,0.0,2.8429303110286736e-17,1.1389407488182077e-18,0.0,1.1102230246251548e-15,0.0,2.8736642247950117e-18,2.149040920637952e-17,0.0,2.149040920637952e-17,0.0,2.883543195982771e-17,0.0,2.883543195982771e-17,0.0,0.0,2.635598600887722e-18,2.635598600887722e-18,0.0,0.0,0.0,0.0,0.9999999999999984,0.0,0.9999999999999984,0.55,48.0,2014-05-31,2014-06-02
2014-07-31,NORMAL,dynamic,0.0055781235936744,0.0621720060796093,9.598409723137528e-16,7.596113018891584e-16,0.0,1.7636344653637861e-16,0.0,2.3866223888215733e-17,0.6561927514589384,4.005659221691213e-18,3.226377297104585e-17,0.0,0.0,0.6561927514589383,0.0,6.026002782492397e-17,5.623290894419963e-18,0.0,0.0,5.623290894419963e-18,0.3438072485410607,0.3438072485410607,1.725544547049152e-18,0.0,0.0,0.0,0.0,1.5094444332745283e-16,1.5094444332745283e-16,0.0,0.0,1.5599542251661283e-16,5.582251668712425e-17,1.0017290582948858e-16,0.55,48.0,2014-06-30,2014-07-01
2014-08-29,CALM,dynamic,0.0056320145771414,0.0621720060796093,3.3120159199328294e-16,0.0,4.470250568508481e-17,0.0,5.3175088597730683e-17,2.3332399771046743e-16,8.392996026383205e-16,4.607356436795064e-17,9.143161931921e-17,1.062196798865839e-16,2.4960058282490597e-16,2.938019546514883e-16,5.2172201588181586e-17,0.0,2.7977703283878793e-16,1.1650121362515443e-16,1.632758192136335e-16,0.0,0.7560547419427532,0.7560547419427532,4.4040685294540315e-17,0.0,1.7206681525524126e-17,1.1562513373289563e-16,1.1562513373289563e-16,1.9328480452875693e-16,0.0,1.5206304488267892e-16,4.1221759646078016e-17,0.24394525805724485,1.3706523169379643e-16,0.2439452580572447,0.55,48.0,2014-07-31,2014-08-01
2014-09-30,NORMAL,dynamic,0.0055975997457893,0.0621720060796093,9.762625490962521e-16,9.582714972732573e-16,1.799105182299484e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041172518616815,0.0041172518616815,0.0,0.0,0.6255706548781977,0.6255706548781975,0.0,2.3005226828762323e-16,0.0,9.416202020958399e-17,9.416202020958399e-17,5.79263854387218e-17,0.0,5.79263854387218e-17,0.0,0.3703120932601195,1.9951039677114557e-17,0.3703120932601195,0.55,48.0,2014-08-31,2014-09-01
2014-10-31,CALM,dynamic,0.0055736205896831,0.0621720060796093,0.0,0.0,0.0,0.0,0.0,0.0,8.541901258100601e-17,4.011093558492722e-18,0.0,0.0,0.0,0.0,8.140791902251329e-17,0.0,3.634807131378447e-16,1.0391295380644531e-16,2.5956775933139937e-16,0.0,0.8246473098063304,0.8246473098063297,1.2717761271110766e-17,6.441112615803396e-16,0.0,0.0,0.0,6.345032613380586e-17,0.0,6.345032613380586e-17,0.0,0.175352690193669,0.175352690193669,0.0,0.55,48.0,2014-09-30,2014-10-01
2014-11-28,CALM,dynamic,0.0055339754670327,0.0621720060796093,0.04327079778300417,2.435127987587976e-16,0.0432707977830039,2.7801812435654407e-17,0.0,0.0,1.5546285148689246e-16,0.0,0.0,1.4797419729554786e-16,0.0,0.0,0.0,7.488654191344596e-18,0.0,0.0,0.0,0.0,0.8686636166550692,0.8686636166550689,0.0,3.20797950004204e-16,0.0,0.0858353850210523,0.0858353850210523,0.0022302005408740035,3.2763615399063825e-18,0.002230200540874,0.0,0.0,0.0,0.0,0.55,48.0,2014-10-31,2014-11-03
2014-12-31,NORMAL,dynamic,0.0054977268651274,0.0621720060796093,0.22837202661604467,0.0,0.2283720266160446,0.0,0.0,5.025970523306559e-17,3.9027443971791746e-16,2.1382997442022546e-17,2.316804627406746e-17,3.237776647358728e-17,7.839431113947104e-17,9.950154138787925e-17,5.2021387314675757e-17,8.342838968621411e-17,0.0,0.0,0.0,0.0,0.7716279733839548,0.7716279733839547,4.398865291271944e-17,0.0,8.324815902817979e-17,2.1452530377320577e-17,2.1452530377320577e-17,4.024071262276657e-17,0.0,4.024071262276657e-17,0.0,3.771084338349522e-17,0.0,3.771084338349522e-17,0.55,48.0,2014-11-30,2014-12-01
2015-01-30,NORMAL,dynamic,0.0054986272579307,0.0621720060796093,0.3996529030590128,1.6456398795350475e-16,0.3996529030590126,3.783519324872464e-17,0.0,0.0,0.12693894490262891,2.051058815291664e-16,0.0,1.4642793817977172e-17,0.1269389449026286,0.0,1.9673154324732698e-17,4.320265859252997e-17,3.0725590365526667e-16,0.0,6.334009927669085e-17,2.439158043785758e-16,0.4734081520383574,0.4734081520383573,1.0322203936974949e-17,0.0,1.249616296891637e-16,2.3667161417705565e-17,2.3667161417705565e-17,1.5977735864086194e-16,4.160007124606464e-17,7.246822837022281e-17,4.5709059024574505e-17,2.105398188944317e-16,6.427688006799041e-17,1.462629388264413e-16,0.55,48.0,2014-12-31,2015-01-01
2015-02-27,CALM,dynamic,0.0054619852012729,0.0621720060796093,8.679318329695539e-17,4.8512768811703873e-17,0.0,0.0,0.0,3.8280414485251517e-17,0.32533814897945734,0.3253381489794572,1.5680244476212588e-16,2.705897377503241e-17,0.0,0.0,3.841699794875346e-18,1.3619511978767249e-17,7.055718734196673e-17,7.055718734196673e-17,0.0,0.0,0.5206931971814561,0.5206931971814561,8.848255152528941e-18,0.0,0.0,1.2281052179861583e-16,1.2281052179861583e-16,1.1063255703161477e-16,0.0,6.913279067343127e-17,4.1499766358183505e-17,0.1539686538390862,0.1539686538390862,0.0,0.55,48.0,2015-01-31,2015-02-02
2015-03-31,NORMAL,dynamic,0.0054254842971681,0.0621720060796093,8.452004905157504e-16,2.653840160962614e-16,2.757307960191006e-16,9.215750898881228e-17,8.921731168199754e-18,2.0300643824337624e-16,0.4863471758169983,0.4863471758169982,0.0,9.238874259434063e-18,0.0,1.475648891259343e-17,1.0615392291476032e-16,1.3554853768619318e-17,2.1653506740585157e-17,0.0,0.0,2.1653506740585157e-17,0.5136528241830004,0.5136528241830004,0.0,0.0,0.0,0.0,0.0,4.8187388293015875e-17,0.0,4.8187388293015875e-17,0.0,1.7979009316495498e-16,4.702358731615238e-17,1.327665058488026e-16,0.55,48.0,2015-02-28,2015-03-02
2015-04-30,CALM,dynamic,0.0053982273569626,0.0621720060796093,9.7083563103333e-17,0.0,9.48204144795966e-17,2.2631486237363988e-18,0.0,0.0,3.969739187717201e-16,0.0,2.866218308685333e-17,0.0,3.2731514696757307e-16,8.83711209740054e-18,0.0,3.2159476619893196e-17,5.840253110665512e-17,5.840253110665512e-17,0.0,0.0,0.9999999999999987,0.6674068934902382,3.41621094281972e-16,0.0,0.3325931065097602,4.1082528442832423e-17,4.1082528442832423e-17,2.0418474758407108e-16,0.0,2.0418474758407108e-16,0.0,2.6768592048129485e-16,5.899868632128527e-17,2.086872341600096e-16,0.55,48.0,2015-03-31,2015-04-01
2015-05-29,CALM,dynamic,0.0053744064876688,0.0621720060796093,7.159411515981402e-16,0.0,0.0,7.159411515981402e-16,0.0,0.0,2.732738384342986e-16,0.0,1.393779436995331e-17,9.493617917244549e-18,3.8570782217467567e-17,7.258234450888927e-17,7.246882205401624e-17,6.622047736672764e-17,0.2061124932205104,2.025632377956882e-16,0.2061124932205102,5.0055570914935545e-18,0.7938875067794883,0.7938875067794882,3.0566985026862615e-17,0.0,7.738409513078899e-17,1.5920485047027787e-16,1.5920485047027787e-16,2.7286834853875663e-17,0.0,1.4782392578106718e-17,1.2504442275768945e-17,3.651421117724799e-17,1.9736433779561945e-17,1.677777739768604e-17,0.55,48.0,2015-04-30,2015-05-01
2015-06-30,NORMAL,dynamic,0.0053542906962682,0.0621720060796093,6.863550181777772e-16,6.969694370352272e-17,1.2906924741306963e-16,4.1595299877526464e-16,0.0,7.163582828592023e-17,1.6934931594547564e-16,1.4022309945973925e-17,0.0,0.0,0.0,4.438242845165973e-17,9.400326656561403e-17,1.6941310982227938e-17,0.3576401654736475,0.0,0.3576401654736475,0.0,0.6423598345263516,0.6423598345263516,0.0,5.3959521082987515e-17,0.0,2.293888723474243e-17,2.293888723474243e-17,2.6354912974890452e-17,0.0,0.0,2.6354912974890452e-17,6.503279494192125e-18,6.503279494192125e-18,0.0,0.55,48.0,2015-05-31,2015-06-01
2015-07-31,CALM,dynamic,0.0053209436116322,0.0621720060796093,4.931779167333324e-16,0.0,4.921109708175983e-16,0.0,1.0669459157341246e-18,0.0,0.33661909673058615,2.0670228595248553e-17,2.1055488573478588e-17,1.2173715057959024e-17,0.3366190967305861,0.0,0.0,0.0,3.9917792352233213e-17,0.0,2.1420978857777324e-18,3.777569446645548e-17,0.6633809032694133,0.5987779329441516,0.0646029703252616,7.197950721638354e-17,0.0,4.9489878712914046e-18,4.9489878712914046e-18,1.4069022302223293e-17,0.0,3.571993768066083e-18,1.049702853415721e-17,2.6731343375809013e-17,0.0,2.6731343375809013e-17,0.55,48.0,2015-06-30,2015-07-01
2015-08-31,STRESS,dynamic,0.0052915679620766,0.0621720060796093,2.799987672354381e-16,1.1884580994680012e-16,1.306413146187995e-16,3.051164266983847e-17,0.0,0.0,0.19232369873389982,0.0,0.0,0.0,0.1923236987338996,0.0,2.203070174686109e-16,0.0,1.3794561296759154e-16,8.097738702702597e-17,0.0,5.696822594056558e-17,0.8076763012660998,0.5105209939674619,9.920107330299309e-18,2.0268334212715915e-16,0.2971553072986377,0.0,0.0,0.0,0.0,0.0,0.0,3.103490571506147e-17,3.103490571506147e-17,0.0,0.55,48.0,2015-07-31,2015-08-03
2015-09-30,NORMAL,dynamic,0.0052884956088804,0.0621720060796093,1.3635420633491113e-16,3.7149650696643945e-17,0.0,5.980681936592432e-18,2.759633641959787e-17,6.562753728207687e-17,4.4681248826544236e-17,0.0,2.627981633083549e-17,1.3737191011127673e-17,0.0,4.664241484581077e-18,0.0,0.0,3.036162913239092e-17,0.0,3.036162913239092e-17,0.0,0.9999999999999991,0.2713433928979133,2.0158582581131118e-17,6.143572358868231e-17,0.7286566071020858,0.0,0.0,3.8602315735286314e-17,0.0,0.0,3.8602315735286314e-17,5.053979012317136e-16,1.704613768993041e-17,4.883517635417831e-16,0.55,48.0,2015-08-31,2015-09-01
2015-10-30,NORMAL,dynamic,0.005261843314302,0.0621720060796093,8.568531323787949e-17,6.658413964311868e-17,1.9101173594760802e-17,0.0,0.0,0.0,2.1175644406135123e-16,0.0,2.4105444247139208e-17,2.6885399471204145e-17,0.0,4.231233080548163e-17,7.802078540576991e-17,4.043248413175633e-17,7.369979012540744e-17,5.3695686317697235e-17,2.000410380771021e-17,0.0,0.32120859811202895,0.1421201065743596,2.446458621677503e-17,0.0,0.1790884915376693,0.0,0.0,6.571972082646542e-17,0.0,3.2203747444154615e-17,3.35159733823108e-17,0.6787914018879704,0.1648542274689046,0.5139371744190658,0.55,48.0,2015-09-30,2015-10-01
2015-11-30,NORMAL,dynamic,0.0052836586249821,0.0621720060796093,3.244785382915979e-16,0.0,0.0,0.0,1.6553236766000926e-16,1.5894617063158864e-16,4.374316862197857e-16,0.0,0.0,0.0,1.6241747625746955e-16,1.156590677256761e-16,0.0,1.5935514223664002e-16,4.428286402080989e-17,0.0,4.428286402080989e-17,0.0,0.4860923760103615,0.486092376010361,6.838785300530819e-17,2.6527896752867557e-16,1.4341464334130502e-16,0.0,0.0,4.58994185815656e-16,0.0,3.155068230124226e-16,1.4348736280323342e-16,0.5139076239896373,5.573198248489605e-17,0.5139076239896372,0.55,48.0,2015-10-31,2015-11-02
2015-12-31,NORMAL,dynamic,0.0052582251472874,0.0621720060796093,1.0415910541427146e-16,0.0,1.0117905805520384e-16,0.0,0.0,2.9800473590676256e-18,4.1128694437243727e-16,0.0,1.8968619495182621e-16,1.0662977504868171e-16,0.0,3.12245759314357e-17,5.650964485491398e-19,8.318130199194449e-17,2.9758077298568525e-16,2.048584918758683e-16,0.0,9.272228110981692e-17,0.37558153061144756,0.3755815306114475,0.0,0.0,6.529488688801601e-17,0.0,0.0,3.447718244889221e-17,0.0,0.0,3.447718244889221e-17,0.6244184693885515,1.2057639476895473e-17,0.6244184693885515,0.55,48.0,2015-11-30,2015-12-01
2016-01-29,NORMAL,dynamic,0.0053206055578331,0.0621720060796093,1.3620769724470745e-16,0.0,9.019446788674585e-17,4.601322935796159e-17,0.0,0.0,4.5676815842167913e-17,0.0,2.942493611893339e-17,0.0,0.0,0.0,1.625187972323452e-17,0.0,6.00824853722961e-17,0.0,3.582172893659786e-17,2.4260756435698237e-17,0.8382773011875636,0.8382773011875636,5.114897031333873e-17,0.0,0.0,1.1706846240045734e-16,1.1706846240045734e-16,3.789344862269953e-17,1.5587139055814214e-17,2.2306309566885316e-17,0.0,0.16172269881243587,2.6712204307245103e-16,0.1617226988124356,0.55,48.0,2015-12-31,2016-01-01
2016-02-29,NORMAL,dynamic,0.0053579425224063,0.0621720060796093,2.532696274926135e-16,2.532696274926135e-16,0.0,0.0,0.0,0.0,8.077214967028714e-17,0.0,0.0,0.0,6.678685382510699e-17,0.0,0.0,1.3985295845180147e-17,0.0,0.0,0.0,0.0,0.9999999999999998,0.9999999999999986,8.396061623727735e-16,3.71060555399999e-16,0.0,1.0408340855860829e-17,1.0408340855860829e-17,4.1633363423443315e-17,0.0,0.0,4.1633363423443315e-17,0.0,0.0,0.0,0.55,48.0,2016-01-31,2016-02-01
2016-03-31,CALM,dynamic,0.0053996452829004,0.0621720060796093,1.4316441295963448e-16,2.603965065612993e-20,0.0,1.135001158902542e-16,2.9638257418724147e-17,0.0,5.404183139978138e-16,1.1367793459644714e-16,0.0,1.8666937273676652e-16,1.7064196617076564e-16,0.0,6.942904049383451e-17,0.0,0.0,0.0,0.0,0.0,0.7325495566396352,0.7325495566396344,0.0,7.706398534259188e-16,0.0,0.0,0.0,3.913327482943354e-17,0.0,3.913327482943354e-17,0.0,0.267450443360364,0.267450443360364,0.0,0.55,48.0,2016-02-29,2016-03-01
2016-04-29,NORMAL,dynamic,0.005387439246237,0.0621720060796093,1.8945141973668717e-16,1.818143333853828e-16,0.0,0.0,7.637086351304388e-18,0.0,2.8254956043739133e-16,1.028395707249818e-16,0.0,1.250975110809248e-16,4.134645841423264e-18,5.047783279006149e-17,0.0,0.0,1.4780357966117448e-17,1.4780357966117448e-17,0.0,0.0,0.572084367819743,0.5720843678197425,0.0,5.38031748720209e-16,2.453701773972388e-17,5.1022738555926315e-17,5.1022738555926315e-17,2.5288791123148568e-17,0.0,2.5288791123148568e-17,0.0,0.4279156321802565,0.4279156321802563,2.2277440615185625e-16,0.55,48.0,2016-03-31,2016-04-01
2016-05-31,CALM,dynamic,0.0054055375273601,0.0621720060796093,8.821539806534796e-17,0.0,4.3311450517536664e-17,4.4903947547811304e-17,0.0,0.0,0.07998787262266521,0.0799878726226647,1.1839874070168706e-16,2.1598676586157912e-16,1.5605196489306365e-17,0.0,1.5958765958132415e-16,0.0,9.412017381397992e-17,8.460250612969112e-17,9.517667684288792e-18,0.0,0.9200121273773345,0.9200121273773344,0.0,6.868096881336508e-17,0.0,8.958365298390519e-17,8.958365298390519e-17,2.3671991746505282e-17,2.3671991746505282e-17,0.0,0.0,0.0,0.0,0.0,0.55,48.0,2016-04-30,2016-05-02
2016-06-30,NORMAL,dynamic,0.0054057584596722,0.0621720060796093,5.996016870435249e-17,0.0,5.996016870435249e-17,0.0,0.0,0.0,0.32616930511621245,5.788944971001735e-17,1.0331518046059746e-16,0.326169305116212,3.437338814100622e-17,1.4102709097748604e-17,1.4823543349545088e-16,7.937324621565422e-17,1.2293737878889152e-16,4.6810005430090425e-17,0.0,7.612737335880109e-17,0.6738306948837872,0.6738306948837872,4.3439366635905633e-17,0.0,1.3454041044884342e-17,2.6632487209270888e-17,2.6632487209270888e-17,6.0507108658006096e-18,6.0507108658006096e-18,0.0,0.0,5.3107463555398827e-17,5.3107463555398827e-17,0.0,0.55,48.0,2016-05-31,2016-06-01
2016-07-29,CALM,dynamic,0.0053733162685532,0.0621720060796093,3.703040081925609e-16,3.703040081925609e-16,0.0,0.0,0.0,0.0,8.69629595814503e-16,1.3329644905497263e-16,0.0,3.552139990304017e-16,0.0,3.4698595628870327e-16,3.413319144042534e-17,0.0,3.770313712264028e-17,0.0,0.0,3.770313712264028e-17,0.6864350748266137,0.6864350748266137,0.0,0.0,5.24790879185206e-17,3.280281122683066e-17,3.280281122683066e-17,1.0794389583254563e-17,0.0,0.0,1.0794389583254563e-17,0.31356492517338497,0.3135649251733849,6.551497480558223e-17,0.55,48.0,2016-06-30,2016-07-01
2016-08-31,CALM,dynamic,0.005344346282044,0.0621720060796093,5.33963335792357e-16,5.33963335792357e-16,0.0,0.0,0.0,0.0,0.06679071976820695,0.0,0.0,0.0667907197682069,0.0,0.0,0.0,5.440664387117566e-17,1.828112169803084e-16,1.828112169803084e-16,0.0,0.0,0.9332092802317922,0.7574252854711205,0.1757839947606716,0.0,0.0,0.0,0.0,1.755392842322411e-16,0.0,1.4583716527010193e-17,1.609555677052309e-16,0.0,0.0,0.0,0.55,48.0,2016-07-31,2016-08-01
2016-09-30,CALM,dynamic,0.0053378665690559,0.0621720060796093,7.002795742709235e-16,6.660429759753726e-16,0.0,0.0,0.0,3.4236598295550876e-17,5.725681240197818e-17,0.0,0.0,0.0,0.0,5.725681240197818e-17,0.0,0.0,1.1980076937238397e-16,9.698429704532336e-17,0.0,2.2816472327060616e-17,0.999999999999999,0.5078882426670447,0.4921117573329542,6.735818816572205e-17,4.949383229191332e-18,1.4557194318537557e-17,1.4557194318537557e-17,1.23347489987169e-16,0.0,7.908525843741961e-17,4.426223154974939e-17,0.0,0.0,0.0,0.55,48.0,2016-08-31,2016-09-01
2016-10-31,NORMAL,dynamic,0.0053066322603882,0.0621720060796093,8.072056594682252e-17,0.0,0.0,0.0,0.0,8.072056594682252e-17,0.5228975511502212,0.0,7.961674760126974e-17,0.522897551150221,1.5216780869692169e-18,1.1475740950521353e-17,4.4820075559879235e-17,1.2257727585298636e-16,0.0,0.0,0.0,0.0,0.4771024488497788,0.4771024488497788,0.0,0.0,0.0,0.0,0.0,3.40588643625979e-17,2.0498817081995432e-17,1.3560047280602465e-17,0.0,1.6709915838002038e-17,0.0,1.6709915838002038e-17,0.55,48.0,2016-09-30,2016-10-03
2016-11-30,CALM,dynamic,0.0052830247845244,0.0621720060796093,1.0867899108725798e-17,0.0,0.0,1.0867899108725798e-17,0.0,0.0,0.658299454667799,0.0,9.855438209037736e-18,0.6582994546677989,0.0,9.618079839692635e-17,2.53365973817455e-17,0.0,1.5973905891427694e-16,1.3626197986525551e-16,2.3477079049021418e-17,0.0,0.3417005453322003,0.3417005453322003,1.1199127483185409e-17,2.542139520387953e-17,0.0,2.177195058399505e-16,2.177195058399505e-16,9.590636236589322e-17,0.0,4.6521103095088515e-17,4.93852592708047e-17,5.06129530652886e-17,5.06129530652886e-17,0.0,0.55,48.0,2016-10-31,2016-11-01
2016-12-30,CALM,dynamic,0.005256893407005,0.0621720060796093,0.15020355068250518,4.0566529640620607e-19,1.0578863361110075e-16,0.0,9.303613080261787e-17,0.150203550682505,0.5890332498894746,4.756640903082737e-17,0.5890332498894744,0.0,0.0,0.0,3.642934887859263e-17,1.8054488476641112e-16,2.1960233860225435e-16,5.196334745992883e-17,3.284250546588974e-17,1.3479648567643579e-16,0.26076319942801995,0.2607631994280199,0.0,0.0,3.153608727563003e-17,0.0,0.0,1.4853463301012598e-16,8.310613143126079e-17,0.0,6.542850157886519e-17,6.782362215254634e-17,0.0,6.782362215254634e-17,0.55,48.0,2016-11-30,2016-12-01
