date,regime,weights_mode,alpha,warmup_months,decision_at,effective_from,q_noise,r_noise,subfactor_w_ev_ebitda,subfactor_w_fcf_yield,subfactor_w_earnings_yield,subfactor_w_roic,subfactor_w_net_debt_ebitda,subfactor_w_gross_margin,subfactor_w_rev_growth_ttm,subfactor_w_eps_growth_fy1,subfactor_w_rev_growth_ntm,subfactor_w_return_12m_ex1,subfactor_w_return_6m,subfactor_w_return_12m,subfactor_w_eps_revision_1m,subfactor_w_delta_roic,subfactor_w_delta_gross_margin,subfactor_w_delta_oper_margin,subfactor_w_gp_over_assets,subfactor_w_accruals,subfactor_w_piotroski_f_score,subfactor_w_ev_ebit,subfactor_w_book_to_price,subfactor_w_rd_intensity,subfactor_w_high52w_proximity,subfactor_w_market_beta_756d,subfactor_w_idiosyncratic_vol_63d,factor_w_value,factor_w_quality,factor_w_growth,factor_w_momentum,factor_w_revisions,factor_w_prof_momentum,factor_w_lowvol
2014-01-30,NORMAL,dynamic,0.6,24,2013-12-31,2014-01-01,0.0077681350461512,0.1029265260291574,0.0174029794012647,0.0,2.831523725052799e-17,4.7305177235745726e-17,0.0,0.0,0.0,0.0,0.3409197443493656,0.0561200943280328,0.5821209344078799,3.692167883121397e-17,7.478263438385691e-17,6.564217749197749e-17,3.021534454672767e-17,0.0,0.003436247513456,0.0,1.0715265539672222e-16,2.3561982070526628e-17,2.507614479915235e-16,5.726739873008669e-17,4.6008998379634394e-18,1.0030684006672272e-20,7.460581496121147e-17,0.017402979401265003,0.0034362475134562115,0.3409197443493656,0.6382410287359127,7.478263438385691e-17,9.585752203870515e-17,7.461584564521814e-17
2014-02-28,CALM,dynamic,0.6,24,2014-01-31,2014-02-03,0.007723698327925,0.1029265260291574,2.2926646509738396e-16,0.0,1.113977254873933e-16,0.0,1.911075057967711e-18,0.0,5.788559117330695e-17,0.0,0.0,0.0669160772373254,0.0,5.782654118168271e-17,5.824519914118343e-17,0.0,0.0,4.88621759237204e-17,0.0,0.933083922762674,0.0,0.0,0.0,0.0,2.4280392567113383e-18,0.0,0.0,3.406641905847773e-16,0.933083922762674,5.788559117330695e-17,0.06691607723732546,5.824519914118343e-17,4.88621759237204e-17,0.0
2014-03-31,CALM,dynamic,0.6,24,2014-02-28,2014-03-03,0.0076811501913734,0.1029265260291574,0.8949442265304776,7.626712372395913e-18,7.001056778316951e-17,0.0,0.0,0.0,2.624691043759755e-16,5.612773641315377e-17,0.0,0.10505577346952,2.1335525158640283e-16,3.5899352822821056e-17,8.666567972070587e-17,0.0,0.0,0.0,3.4640894437595056e-16,5.522932454793612e-16,4.591939103256903e-17,1.0816289198928906e-16,2.1477712922820522e-16,0.0,3.935630192415413e-17,2.881652233443593e-17,1.89201410615014e-16,0.894944226530478,9.44621580887881e-16,3.185968407891293e-16,0.10505577346952029,8.666567972070587e-17,0.0,2.1801793294944992e-16
2014-04-30,CALM,dynamic,0.6,24,2014-03-31,2014-04-01,0.0076588821363379,0.1029265260291574,0.9947933643327004,0.0,5.149514176750698e-18,4.4338888592720055e-17,0.0,0.0,9.464652539170276e-17,0.0,0.0,3.6586986461374836e-17,0.0,0.0052066356672976,0.0,1.9794229450339076e-16,1.0293310147183069e-17,0.0,1.3970553140658282e-16,0.0,1.103953522649086e-17,1.6747005905745937e-17,1.264622624280551e-15,0.0,9.615938830142768e-18,2.851742527700419e-17,0.0,0.9947933643327016,1.9508395522579372e-16,9.464652539170276e-17,0.005206635667297646,0.0,2.0823560465057383e-16,2.851742527700419e-17
2014-05-30,CALM,dynamic,0.6,24,2014-04-30,2014-05-01,0.0076179318596155,0.1029265260291574,0.6041185890404691,4.7999041077190587e-17,0.0,0.0,2.0985241029054722e-17,0.0,3.3689308967700354e-17,2.8180575321480144e-17,2.3202905228570735e-17,2.939900751121628e-17,0.0,9.662355578838821e-17,5.1738758685461267e-17,0.0012478945659884,2.7184665258463013e-17,2.2543807283709133e-16,0.0,0.3946335163935416,1.2223382038487501e-17,3.277554682792604e-17,2.565033014398151e-16,4.3606575252586127e-17,0.0,2.8644531403972256e-17,0.0,0.6041185890404693,0.39463351639354166,8.507278951775122e-17,1.2602256329960448e-16,5.1738758685461267e-17,0.0012478945659886527,2.8644531403972256e-17
2014-06-30,CALM,dynamic,0.6,24,2014-05-31,2014-06-02,0.007578129638204,0.1029265260291574,1.256823039145993e-16,0.0,1.2734567380076502e-17,2.4590628831191275e-17,4.516580289704843e-18,0.0,5.483986944353685e-17,3.7454376912746e-17,0.0,0.0123777741972647,4.4946308691866676e-18,7.530396952146081e-18,8.597339934731775e-17,4.833465640862382e-17,6.592872767931898e-18,3.575791120779197e-17,0.0,0.3421072763986433,2.730113426240504e-17,0.0,4.7862717768606836e-17,6.0125139106663746e-18,1.56086783530085e-17,0.0,0.6455149494040915,1.8627958906328267e-16,0.34210727639864336,9.229424635628285e-17,0.012377774197264728,8.597339934731775e-17,9.068544038434768e-17,0.6455149494040915
2014-07-31,NORMAL,dynamic,0.6,24,2014-06-30,2014-07-01,0.0075639982647163,0.1029265260291574,0.0,0.0,1.3319216785355703e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.2448645961798981,3.2871571064390913e-17,1.2341602660414275e-16,0.0,7.887023590583921e-17,1.067519080167042e-16,1.1935755124523777e-17,0.0,0.7551354038201016,7.691603841949777e-19,0.0,0.0,0.0,2.0413294428942586e-17,0.0,6.029362449664481e-17,1.3319216785355703e-16,0.7551354038201016,0.0,0.24486459617989825,0.0,1.9755789904706718e-16,6.029362449664481e-17
2014-08-29,CALM,dynamic,0.6,24,2014-07-31,2014-08-01,0.0075763195772527,0.1029265260291574,0.0,0.0,2.3939899702129607e-16,2.4300062263750284e-17,4.0138969245700346e-17,3.931565322096918e-17,2.7528951858683665e-17,1.323334233566473e-16,1.7063573294372178e-17,0.5480630120149259,4.649128054897077e-17,1.436900053122961e-16,0.0,1.0425892755171395e-16,0.0,8.032177646230747e-17,0.0,1.5820644649929132e-15,0.0,0.0,0.1096245826573925,0.0,1.0780371492729509e-17,2.0958755188073997e-17,0.3423124053276791,0.10962458265739274,1.685819149723333e-15,1.7692594850970314e-16,0.548063012014926,0.0,1.8458070401402142e-16,0.3423124053276791
2014-09-30,NORMAL,dynamic,0.6,24,2014-08-31,2014-09-01,0.0075399192099335,0.1029265260291574,1.1820475292509223e-16,3.932479619785095e-16,0.1380414077565018,5.383001642751269e-17,0.0,4.9562649564182806e-17,0.0034818905995046,0.0,1.5394254004894596e-16,0.4653534283445227,3.320237433030482e-17,0.0,0.3599035228090083,9.28172340486709e-17,0.0,1.7404196688726058e-17,3.263046094856936e-17,2.2557545139821224e-17,3.471416199881494e-17,0.0,0.0,8.680160605727086e-17,5.5711464155834945e-18,0.0,0.0332197504904614,0.1380414077565023,2.800964401361719e-16,0.003481890599504754,0.46535342834452276,0.3599035228090083,1.1022143073739696e-16,0.0332197504904614
2014-10-31,CALM,dynamic,0.6,24,2014-09-30,2014-10-01,0.0075112155017723,0.1029265260291574,0.1670587688609073,0.1233411853580627,3.670352336554705e-17,0.0,7.575362792823362e-17,6.537154894099905e-17,1.2283755124574409e-17,1.2255813134192587e-16,7.456100553849957e-17,0.6144612394896449,1.2924864911665735e-16,3.9975660136718764e-16,1.0698354106513081e-16,3.6139399422675675e-17,0.0,5.478448028600618e-17,7.282392046714802e-16,0.0,0.0,0.0,1.9130501940697934e-16,0.0,5.761950340772769e-17,0.0,0.0951388062913829,0.2903999542189702,8.693643815407128e-16,2.0940289200499985e-16,0.6144612394896456,1.0698354106513081e-16,9.092387970868185e-17,0.0951388062913829
2014-11-28,CALM,dynamic,0.6,24,2014-10-31,2014-11-03,0.0074741781337399,0.1029265260291574,5.577061163043269e-16,0.0748868742694163,0.0,0.0,0.0,3.3257321053897867e-16,0.0,0.0,0.0,0.6503223426105413,0.0,7.639832752798599e-16,0.2725330123007157,0.0,0.0022577708193245,0.0,4.608450077471126e-16,0.0,0.0,6.709523146289973e-17,0.0,0.0,0.0,0.0,0.0,0.07488687426941693,7.934182182860913e-16,0.0,0.6503223426105421,0.2725330123007157,0.0022577708193245,0.0
2014-12-31,NORMAL,dynamic,0.6,24,2014-11-30,2014-12-01,0.0074382800724444,0.1029265260291574,2.394381278026712e-17,0.4092160662795467,5.405424045067929e-17,9.478024487850105e-16,0.0,2.705621257203207e-17,1.1609410966088585e-17,3.731409576029275e-16,4.424476810896055e-17,0.5907839337204515,0.0,2.2364622529993225e-16,0.0,0.0,3.5987682960837785e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.945403261340891e-17,1.1345084047359064e-17,0.0,0.0,0.40921606627954676,9.943126939704514e-16,4.2899513667797667e-16,0.5907839337204517,0.0,3.5987682960837785e-17,0.0
2015-01-30,NORMAL,dynamic,0.6,24,2014-12-31,2015-01-01,0.0074216927540682,0.1029265260291574,3.196145502594903e-16,0.4558091912077427,3.1872454886077246e-17,4.6834484698327715e-17,0.0,0.0,3.466291768755674e-16,0.0,0.0,0.3859874170765745,0.0,4.557015974665185e-16,9.150081631511357e-18,0.0,5.618540724866981e-17,2.4806620909085872e-17,0.1582033917156813,7.82418783007398e-17,0.0,1.301451455458172e-17,1.9054371655593058e-17,3.469667136249526e-17,1.9342005949794893e-17,0.0,0.0,0.4558091912077431,0.15820339171568146,3.466291768755674e-16,0.38598741707657497,9.150081631511357e-18,8.099202815775569e-17,0.0
2015-02-27,CALM,dynamic,0.6,24,2015-01-31,2015-02-02,0.0073867349590305,0.1029265260291574,0.0,1.0991702234254196e-16,0.0,0.583520130989115,1.9850050553130585e-17,0.0,2.437813154567328e-17,5.927893216372004e-17,2.2988309663907698e-17,0.4164798690108838,5.990040122913245e-17,4.659557900679276e-16,0.0,0.0,0.0,0.0,7.980115629937627e-17,3.310008596399614e-17,0.0,0.0,5.048753033868533e-18,4.485590472699381e-17,0.0,0.0,0.0,1.149657753764105e-16,0.5835201309891151,1.0664537337330102e-16,0.4164798690108843,0.0,0.0,0.0
2015-03-31,NORMAL,dynamic,0.6,24,2015-02-28,2015-03-02,0.0073521122761194,0.1029265260291574,0.0,0.0,6.817188655801461e-17,0.5917250957676324,0.0,2.291860937458541e-16,0.0,1.0639338851554139e-17,1.0481682904534119e-16,0.4082749042323659,0.0,4.061485434843891e-17,3.0694540156813915e-16,0.0,9.361465535151251e-17,1.849251577746184e-17,1.117819882468939e-16,0.0,0.0,5.570437547139845e-17,5.3567546798373156e-17,1.5568483744720444e-16,6.161781497746994e-17,0.0,1.1856652414879523e-16,1.774438088277862e-16,0.5917250957676329,1.1545616789689533e-16,0.408274904232366,3.0694540156813915e-16,1.1210717112897434e-16,1.1856652414879523e-16
2015-04-30,CALM,dynamic,0.6,24,2015-03-31,2015-04-01,0.0073231990208112,0.1029265260291574,0.0,5.4318835351240695e-18,1.947499710112931e-17,0.0,0.0,2.1015168687377986e-17,1.8818253340822128e-16,0.1552248373465439,1.56936154368257e-16,0.5230644984552435,0.0,0.0,7.195947625943607e-17,3.834524010683794e-17,0.0,0.0,1.482897528689077e-16,3.3617700673663676e-17,0.0,0.0,3.976850262820556e-17,1.3278808775396758e-17,0.3217106641982118,7.631983835540272e-17,1.0520826831256213e-17,6.467538326445894e-17,2.1620143100534614e-16,0.15522483734654427,0.8447751626534553,7.195947625943607e-17,3.834524010683794e-17,8.684066518665894e-17
