date,regime,weights_mode,q_noise,r_noise,factor_w_value,subfactor_w_ev_ebitda,subfactor_w_fcf_yield,subfactor_w_earnings_yield,subfactor_w_ev_ebit,subfactor_w_book_to_price,factor_w_quality,subfactor_w_roic,subfactor_w_net_debt_ebitda,subfactor_w_gross_margin,subfactor_w_gp_over_assets,subfactor_w_accruals,subfactor_w_piotroski_f_score,subfactor_w_rd_intensity,factor_w_growth,subfactor_w_rev_growth_ttm,subfactor_w_eps_growth_fy1,subfactor_w_rev_growth_ntm,factor_w_momentum,subfactor_w_return_12m_ex1,subfactor_w_return_6m,subfactor_w_return_12m,subfactor_w_high52w_proximity,factor_w_revisions,subfactor_w_eps_revision_1m,factor_w_prof_momentum,subfactor_w_delta_roic,subfactor_w_delta_gross_margin,subfactor_w_delta_oper_margin,factor_w_lowvol,subfactor_w_market_beta_756d,subfactor_w_idiosyncratic_vol_63d,alpha,warmup_months,decision_at,effective_from
2014-01-30,NORMAL,dynamic,0.0,0.01,0.2,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.2,0.028560000000000002,0.028560000000000002,0.028560000000000002,0.02858,0.02858,0.02858,0.02858,0.15,0.06,0.06,0.03,0.2,0.05,0.05,0.05,0.05,0.1,0.1,0.15,0.075,0.045,0.03,0.0,0.0,0.0,,,,
2014-02-28,CALM,dynamic,0.0057034457361729,0.0621720060796101,6.017903636686411e-16,4.096330876543172e-16,1.1474854490663147e-16,0.0,7.740873110769236e-17,0.0,0.9189464524388926,1.9784807511053103e-16,0.0,0.0,5.2574109664721545e-17,0.9189464524388924,0.0,0.0,1.4961760893846734e-16,0.0,2.6926536649712433e-17,1.2269107228875491e-16,0.0810535475611063,0.0810535475611062,9.620771782655535e-17,0.0,0.0,4.0365912373451876e-17,4.0365912373451876e-17,0.0,0.0,0.0,0.0,7.900455277735253e-17,0.0,7.900455277735253e-17,0.6,48.0,2014-01-31,2014-02-03
2014-03-31,CALM,dynamic,0.0056671955773455,0.0621720060796101,0.8671085395626315,0.8671085395626315,1.167797094438171e-17,0.0,0.0,4.857225732735066e-17,2.8774231922364603e-16,4.395151357064287e-17,5.766505706878353e-17,0.0,1.4534228233419043e-16,4.07834662500292e-17,0.0,0.0,2.7906589681592503e-16,0.0,2.1733753788299142e-16,6.17283589329336e-17,0.13289146043736771,0.1328914604373676,4.5256069739670003e-17,3.0665768316336103e-17,2.7755575615629074e-17,1.4359509808688938e-17,1.4359509808688938e-17,4.5205286242087383e-17,4.221792612270733e-17,2.987360119380052e-18,0.0,6.512676496953819e-17,2.7755575615629024e-17,3.737118935390917e-17,0.6,48.0,2014-02-28,2014-03-03
2014-04-30,CALM,dynamic,0.0056619238111077,0.0621720060796101,1.0,1.0,0.0,0.0,0.0,0.0,5.733037195746852e-17,0.0,2.927826462316168e-17,1.1485567963339905e-17,0.0,8.673617379884035e-19,1.5699177632978534e-17,0.0,4.969780118290568e-17,8.297057727563072e-18,4.140074345534261e-17,0.0,5.43982783180341e-17,0.0,2.6642702702405186e-17,2.7755575615628914e-17,0.0,8.111543055245118e-18,8.111543055245118e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,48.0,2014-03-31,2014-04-01
2014-05-30,CALM,dynamic,0.0056268931841691,0.0621720060796101,1.0,1.0,0.0,0.0,0.0,0.0,5.733037195746852e-17,0.0,2.927826462316168e-17,1.1485567963339905e-17,0.0,8.673617379884035e-19,1.5699177632978534e-17,0.0,4.969780118290568e-17,8.297057727563072e-18,4.140074345534261e-17,0.0,5.43982783180341e-17,0.0,2.6642702702405186e-17,2.7755575615628914e-17,0.0,8.111543055245118e-18,8.111543055245118e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,48.0,2014-04-30,2014-05-01
2014-06-30,CALM,dynamic,0.0055937076517745,0.0621720060796101,1.9429431884262077e-15,1.859623566247136e-15,1.6520547324767845e-17,0.0,5.664445206493047e-17,1.0154622789372954e-17,1.507887273793077e-16,3.6888305825511725e-17,1.2596123737734169e-17,3.20009812221054e-17,2.2015331932607785e-18,0.0,0.0,6.710178340069563e-17,7.92042698972529e-17,4.824062295589746e-17,0.0,3.096364694135544e-17,1.5136439455502881e-16,0.0,3.7913601093528553e-17,9.63104058207838e-17,1.7140387640716454e-17,0.0,0.0,1.101381196237952e-16,0.0,6.690936425700729e-17,4.322875536678791e-17,0.9999999999999974,1.8027677026270136e-17,0.9999999999999974,0.6,48.0,2014-05-31,2014-06-02
2014-07-31,NORMAL,dynamic,0.0056000101979437,0.0621720060796101,1.8412492889987455e-16,1.3308520520535552e-16,0.0,0.0,4.652308635544317e-18,4.6387415058974715e-17,0.6560152000360702,4.935670277386298e-17,0.0,0.0,2.5027555472712648e-17,0.6560152000360701,1.181317552282151e-18,1.2152762016583332e-18,2.6094931102728663e-17,0.0,1.853006408605719e-17,7.564867016671473e-18,0.3439847999639296,0.3439847999639294,1.024296123601053e-17,1.684177851254232e-16,5.675108475259876e-17,0.0,0.0,1.0763476627602456e-16,3.77597418744437e-18,0.0,1.0385879208858019e-16,0.0,0.0,0.0,0.6,48.0,2014-06-30,2014-07-01
2014-08-29,CALM,dynamic,0.0056439841692671,0.0621720060796101,5.57720015855354e-17,0.0,5.5509298720600896e-17,2.6270286493450323e-19,0.0,0.0,1.165711274976285e-16,3.495284590691086e-17,4.2545170329819154e-17,0.0,1.36961814300974e-17,0.0,1.2243920379401536e-18,2.4152537792860917e-17,1.3697586392420293e-17,0.0,0.0,1.3697586392420293e-17,0.7566365461612414,0.7566365461612409,2.4395167448160105e-17,5.664008827381663e-16,2.0156908831943826e-17,3.5005362453048784e-17,3.5005362453048784e-17,1.877592670074067e-17,0.0,0.0,1.877592670074067e-17,0.24336345383875832,2.136214863901533e-17,0.2433634538387583,0.6,48.0,2014-07-31,2014-08-01
2014-09-30,NORMAL,dynamic,0.005615651180357,0.0621720060796101,3.6813733797107395e-16,0.0,0.0,0.0,3.139733871132201e-16,5.416395085785386e-17,1.6090887695694943e-16,0.0,1.2111210806372724e-17,2.2634412111325497e-17,4.032075069987558e-17,4.141457602412617e-18,0.0,8.170104573696299e-17,0.0042296975871463,0.0042296975871463,0.0,0.0,0.6261853529752335,0.6261853529752335,4.03411307253842e-18,0.0,0.0,1.754149785593224e-16,1.754149785593224e-16,1.047626315420833e-16,8.482127684851993e-17,1.8396136743797964e-17,1.5452179497654072e-18,0.36958494943761927,2.959662065617802e-17,0.3695849494376192,0.6,48.0,2014-08-31,2014-09-01
2014-10-31,CALM,dynamic,0.0055957508241811,0.0621720060796101,2.3089010313899303e-16,5.911871601054598e-17,5.2135305438214787e-17,8.676043487074802e-18,0.0,1.1096003820315748e-16,1.380413635640405e-16,3.7725131046367994e-17,0.0,0.0,2.2885764092306877e-17,5.0356097588732874e-17,2.7074370836632757e-17,0.0,2.1180513943526272e-17,0.0,0.0,2.1180513943526272e-17,0.8250079268020536,0.8250079268020536,0.0,0.0,4.475470562736279e-17,0.0,0.0,8.234047415158886e-17,2.869128417445779e-17,5.3649189977131075e-17,0.0,0.1749920731979458,0.1749920731979458,0.0,0.6,48.0,2014-09-30,2014-10-01
